client_id,ds,age,gender,annual_income,credit_score,debt_to_income_ratio,loan_amount,vehicle_value,down_payment,vehicle_type,vehicle_year,annual_mileage,driving_history_accidents,location_risk,loan_term_months,interest_rate,payment_history_late,insurance_coverage_level,is_high_risk
Client_1,2023-01-28,56.1,female,20926.04,585,0.45,51108.23,68777.74,6649.88,sports,2012,21672.0,4,rural,60,7.43,0,basic,1
Client_1,2023-01-29,66.1,male,42967.4,657,0.42,62994.62,80278.61,15334.22,sports,2021,17803.0,5,rural,60,10.9,0,basic,1
Client_1,2023-01-30,43.1,female,30529.39,567,0.32,98276.8,109374.25,14214.86,sports,2016,16005.0,3,urban_low,48,4.33,0,basic,0
Client_1,2023-01-31,28.1,female,30179.07,460,0.58,37280.69,50788.55,3901.73,sedan,2019,8969.0,4,urban_high,84,14.15,1,comprehensive,1
Client_1,2023-02-01,28.1,female,66228.69,669,0.36,53399.89,64581.53,4106.1,truck,2014,19891.0,4,urban_high,84,11.89,1,comprehensive,1
Client_1,2023-02-02,46.1,male,35672.8,582,0.57,18499.4,26483.45,6766.88,sedan,2020,6587.0,5,rural,60,8.16,0,basic,1
Client_1,2023-02-03,34.1,male,111649.22,796,0.37,22889.59,33498.63,4321.84,sedan,2020,29787.0,2,urban_low,72,12.83,0,comprehensive,0
Client_1,2023-02-04,62.1,male,32169.31,573,0.37,93998.51,106687.57,17585.74,luxury,2010,10139.0,0,rural,84,13.52,0,basic,0
Client_1,2023-02-05,56.1,male,105265.41,814,0.36,66339.25,91961.78,11090.43,SUV,2020,11352.0,3,rural,84,7.4,1,comprehensive,1
Client_1,2023-02-06,60.1,male,49171.43,632,0.43,61108.37,79437.6,23585.64,luxury,2018,27707.0,1,urban_high,48,12.16,1,basic,1
Client_1,2023-02-07,29.1,male,38665.0,504,0.4,97776.01,107649.38,12564.1,luxury,2012,6828.0,4,urban_low,36,8.77,0,comprehensive,1
Client_1,2023-02-08,47.1,male,44499.29,610,0.46,43350.43,64929.03,4812.17,sports,2015,9293.0,2,urban_high,48,12.39,1,basic,0
Client_1,2023-02-09,45.1,female,27838.24,596,0.59,75298.18,89174.89,12313.97,truck,2020,25845.0,4,rural,72,12.21,0,comprehensive,1
Client_1,2023-02-10,69.1,female,15502.2,550,0.39,84357.54,113010.77,28083.7,luxury,2020,25263.0,4,urban_low,36,9.39,0,basic,1
Client_1,2023-02-11,40.1,male,52125.45,575,0.45,95184.13,114758.55,12172.49,luxury,2010,7627.0,5,urban_low,72,8.62,0,comprehensive,1
Client_1,2023-02-12,49.1,male,43677.28,608,0.34,28787.41,41104.86,9136.28,sports,2024,14844.0,3,urban_low,60,13.63,0,comprehensive,0
Client_1,2023-02-13,30.1,female,60107.66,596,0.17,88654.4,116208.3,21569.92,truck,2019,17223.0,2,urban_low,84,6.92,0,basic,1
Client_1,2023-02-14,47.1,female,97313.57,812,0.17,33356.59,43931.7,12997.53,sedan,2021,5532.0,0,rural,84,14.88,0,comprehensive,0
Client_1,2023-02-15,50.1,female,30300.01,618,0.49,62955.85,90632.09,15197.32,luxury,2014,26563.0,4,urban_low,60,4.58,0,basic,1
Client_1,2023-02-16,43.1,male,69711.06,776,0.13,35325.84,49010.28,14291.0,luxury,2014,17545.0,3,urban_high,36,14.9,0,comprehensive,1
Client_1,2023-02-17,50.1,female,36458.89,616,0.36,88475.69,124118.0,27087.18,sports,2015,14510.0,0,urban_high,48,12.79,0,basic,0
Client_1,2023-02-18,43.1,female,52041.19,580,0.5,95695.53,117067.07,18782.52,truck,2021,21936.0,4,urban_high,48,12.13,0,basic,1
Client_1,2023-02-19,37.1,male,49290.5,560,0.37,27215.18,40515.55,4682.51,sports,2021,9839.0,4,urban_low,60,10.31,0,comprehensive,0
Client_1,2023-02-20,53.1,male,25916.05,566,0.51,37240.95,47258.87,8527.36,sedan,2024,22543.0,4,urban_high,72,6.17,0,comprehensive,1
Client_1,2023-02-21,58.1,female,71134.59,707,0.14,30919.36,41083.08,3169.62,sports,2012,19379.0,3,rural,72,6.41,1,basic,1
Client_1,2023-02-22,53.1,male,30639.58,542,0.58,27676.07,39193.54,9271.55,luxury,2015,14070.0,2,rural,84,8.42,0,comprehensive,1
Client_1,2023-02-23,48.1,male,39575.0,603,0.5,54690.97,65635.81,5016.47,SUV,2021,6335.0,0,urban_low,36,14.96,1,comprehensive,0
Client_1,2023-02-24,44.1,male,56188.98,688,0.46,58900.93,87311.95,10713.84,sports,2022,24938.0,4,urban_low,84,14.72,0,basic,1
Client_1,2023-02-25,29.2,female,40348.34,514,0.57,57122.39,80904.38,24002.33,truck,2021,25442.0,1,urban_low,36,12.3,0,basic,1
Client_1,2023-02-26,41.2,female,57292.77,657,0.4,99578.78,119956.4,15509.31,sports,2024,28147.0,0,rural,84,10.64,0,comprehensive,1
Client_1,2023-02-27,28.2,female,106898.82,711,0.37,62494.03,92541.28,19065.47,sports,2024,22586.0,2,urban_low,36,6.66,1,basic,1
Client_1,2023-02-28,37.2,female,56970.89,622,0.49,89938.54,114273.94,7810.78,luxury,2010,28965.0,5,urban_high,48,6.96,1,basic,1
Client_1,2023-03-01,55.2,male,56149.49,696,0.3,61260.91,69440.88,12062.4,sports,2019,28637.0,5,rural,36,13.28,1,comprehensive,1
Client_1,2023-03-02,66.2,female,58445.12,657,0.3,15613.39,21084.83,4918.47,truck,2010,7824.0,5,rural,60,14.5,1,basic,1
Client_1,2023-03-03,68.2,male,54442.47,624,0.51,20864.74,25367.68,6589.89,luxury,2023,28038.0,2,urban_high,72,11.53,0,comprehensive,0
Client_1,2023-03-04,69.2,female,23985.82,614,0.51,58115.71,68418.63,14571.76,truck,2019,29011.0,2,urban_high,36,13.55,0,basic,1
Client_1,2023-03-05,65.2,male,31234.93,539,0.52,54680.44,81728.33,21259.99,sedan,2020,10213.0,1,urban_high,60,14.86,0,comprehensive,1
Client_1,2023-03-06,60.2,male,87380.35,798,0.3,27891.1,38614.64,11336.5,truck,2018,22518.0,5,urban_high,48,11.32,0,comprehensive,0
Client_1,2023-03-07,65.2,female,29126.84,595,0.41,54030.53,69727.74,19899.1,sports,2010,10520.0,4,urban_low,60,7.83,0,comprehensive,1
Client_1,2023-03-08,33.2,male,28747.08,454,0.59,29379.04,38574.98,5038.05,luxury,2016,23492.0,1,urban_high,84,5.2,1,basic,1
Client_1,2023-03-09,28.2,male,83050.5,659,0.29,61028.84,91416.49,5889.68,luxury,2013,14511.0,0,urban_low,84,6.38,1,comprehensive,0
Client_1,2023-03-10,46.2,female,49404.71,677,0.47,48347.35,71276.38,4355.76,truck,2018,6070.0,1,rural,72,11.64,1,comprehensive,1
Client_1,2023-03-11,53.2,female,21081.62,524,0.52,72958.6,91340.68,6906.59,sedan,2013,12697.0,1,rural,36,9.69,0,comprehensive,1
Client_1,2023-03-12,54.2,male,25782.84,569,0.58,69769.95,82028.13,18543.25,sports,2016,29665.0,2,urban_high,84,6.71,0,basic,1
Client_1,2023-03-13,59.2,female,45502.41,665,0.59,82102.4,91972.56,27024.32,sedan,2013,8435.0,0,rural,36,10.93,1,basic,0
Client_1,2023-03-14,64.2,male,29493.46,510,0.56,47566.95,61119.33,10361.7,truck,2011,26331.0,0,rural,72,13.44,0,basic,1
Client_1,2023-03-15,50.2,male,28123.82,516,0.47,65641.3,79461.88,14670.19,SUV,2021,19408.0,0,rural,60,6.12,1,basic,1
Client_1,2023-03-16,38.2,male,54388.53,618,0.47,86534.46,104494.62,11392.97,truck,2023,18371.0,5,urban_high,36,5.36,1,basic,1
Client_1,2023-03-17,64.2,female,56306.89,640,0.6,22290.35,30043.36,4467.22,SUV,2022,12950.0,0,urban_high,84,12.36,1,comprehensive,1
Client_1,2023-03-18,46.2,female,50763.11,552,0.56,33473.58,44413.7,3831.94,luxury,2010,11207.0,1,rural,48,11.15,1,comprehensive,1
Client_1,2023-03-19,38.2,male,82740.82,752,0.31,80741.58,114346.22,16383.13,truck,2014,12791.0,1,rural,72,6.42,1,basic,1
Client_1,2023-03-20,55.2,female,21448.25,485,0.54,75635.3,89364.51,24064.66,truck,2023,23661.0,3,rural,84,8.22,1,basic,1
Client_1,2023-03-21,53.2,female,58845.43,670,0.57,78336.07,110672.6,16140.73,sedan,2024,18154.0,2,rural,72,8.8,1,basic,0
Client_1,2023-03-22,38.2,male,66771.3,835,0.34,63578.36,87069.88,9763.84,SUV,2014,25946.0,0,urban_low,72,8.69,0,comprehensive,1
Client_1,2023-03-23,31.2,male,108937.41,819,0.34,25718.63,37926.47,2930.18,sedan,2012,6322.0,1,urban_high,48,8.42,0,basic,0
Client_1,2023-03-24,69.2,female,40572.2,677,0.41,42077.85,56727.02,6510.03,SUV,2014,24017.0,3,urban_high,84,13.81,1,comprehensive,1
Client_1,2023-03-25,67.2,male,54122.95,638,0.31,47046.72,55881.69,16522.56,sedan,2011,22320.0,3,urban_high,60,9.77,1,comprehensive,0
Client_1,2023-03-26,19.2,male,196574.18,850,0.19,89346.53,120952.12,25417.35,SUV,2018,25191.0,5,urban_high,84,11.94,0,basic,0
Client_1,2023-03-27,29.2,female,38226.37,521,0.31,42581.93,56246.24,9567.45,SUV,2012,21815.0,3,rural,36,11.53,1,comprehensive,1
Client_1,2023-03-28,42.2,male,36932.27,604,0.34,79400.48,93440.86,9648.43,truck,2018,28300.0,5,urban_low,60,4.93,0,comprehensive,0
Client_1,2023-03-29,56.2,male,125019.89,850,0.16,16506.3,18493.97,2715.56,SUV,2021,22586.0,4,urban_low,72,11.53,1,comprehensive,0
Client_1,2023-03-30,38.2,female,31627.43,530,0.32,55148.43,63919.88,12918.83,sedan,2010,7531.0,0,urban_high,84,10.24,0,comprehensive,0
Client_1,2023-03-31,56.2,male,205545.27,850,0.29,80913.61,110110.76,28865.77,SUV,2021,29993.0,3,urban_high,60,5.76,1,basic,0
Client_1,2023-04-01,53.2,male,14543.72,512,0.54,69418.18,95914.18,28537.89,sports,2019,17691.0,4,urban_low,36,12.48,0,comprehensive,1
Client_1,2023-04-02,66.2,male,37545.2,537,0.32,43859.06,53517.96,6071.9,luxury,2020,21540.0,0,urban_high,60,5.41,1,comprehensive,0
Client_1,2023-04-03,51.3,male,66369.47,722,0.22,49802.27,55458.63,8734.45,SUV,2016,27799.0,1,rural,48,14.36,0,comprehensive,0
Client_1,2023-04-04,41.3,female,40112.84,542,0.38,50918.98,57544.13,14946.81,luxury,2010,22122.0,4,rural,84,13.93,0,comprehensive,1
Client_1,2023-04-05,22.3,male,141389.33,850,0.3,34259.29,42604.22,4153.84,luxury,2014,17114.0,0,urban_low,84,4.59,1,comprehensive,1
Client_1,2023-04-06,22.3,male,61474.5,661,0.28,93642.03,119400.96,27715.56,sports,2018,8781.0,0,urban_low,72,11.26,0,comprehensive,0
Client_1,2023-04-07,62.3,male,19700.08,522,0.41,65115.76,97049.97,13656.15,luxury,2020,20505.0,0,rural,36,12.36,0,basic,1
Client_1,2023-04-08,34.3,female,42512.98,640,0.33,45200.18,56326.5,9343.53,luxury,2015,10566.0,2,urban_low,36,6.2,0,comprehensive,0
Client_1,2023-04-09,32.3,male,7011.03,365,0.35,71404.89,78570.12,9021.97,SUV,2019,10082.0,3,rural,36,4.91,0,comprehensive,1
Client_1,2023-04-10,36.3,male,14809.48,390,0.48,19407.69,24203.42,1449.39,sports,2023,6191.0,0,urban_low,84,6.36,0,basic,0
Client_1,2023-04-11,52.3,male,37645.67,587,0.41,14290.56,18592.06,943.45,sports,2021,12847.0,3,rural,84,6.47,1,basic,1
Client_1,2023-04-12,54.3,male,50772.26,750,0.56,87721.43,107238.36,26595.6,SUV,2024,25608.0,4,urban_high,36,14.35,1,basic,1
Client_1,2023-04-13,42.3,male,27203.33,539,0.32,98031.87,121287.03,27960.41,sports,2015,23873.0,5,urban_low,72,11.33,0,comprehensive,1
Client_1,2023-04-14,38.3,female,43413.49,564,0.48,85487.64,121128.33,19942.6,truck,2024,18089.0,1,rural,48,7.26,1,comprehensive,1
Client_1,2023-04-15,51.3,male,52475.96,663,0.42,43381.91,58467.22,13150.29,truck,2022,12783.0,1,urban_high,48,12.18,1,comprehensive,1
Client_1,2023-04-16,39.3,female,33891.51,636,0.46,24867.48,37043.83,8612.2,sedan,2013,25957.0,0,urban_low,48,13.82,0,comprehensive,0
Client_1,2023-04-17,20.3,male,44753.68,544,0.59,34591.75,43618.56,12342.13,sedan,2013,13809.0,1,urban_low,72,10.12,1,basic,0
Client_1,2023-04-18,62.3,male,36612.33,616,0.4,34892.25,42136.89,7735.64,SUV,2019,15127.0,3,urban_high,60,9.99,0,basic,1
Client_1,2023-04-19,44.3,male,34419.59,589,0.34,75717.22,92126.25,11089.7,truck,2021,29254.0,5,urban_high,48,14.79,1,basic,1
Client_1,2023-04-20,23.3,female,86786.53,742,0.36,99187.02,120843.98,26759.73,SUV,2013,18297.0,3,urban_high,36,11.06,0,comprehensive,0
Client_1,2023-04-21,34.3,male,79835.0,708,0.18,14747.51,16979.2,4016.73,truck,2019,15500.0,4,rural,36,14.86,1,basic,0
Client_1,2023-04-22,37.3,male,68257.47,609,0.34,78718.33,95624.16,9796.9,truck,2011,11011.0,1,rural,72,14.06,1,comprehensive,0
Client_1,2023-04-23,67.3,female,48409.87,667,0.41,22682.93,33288.75,4037.65,sedan,2017,15661.0,2,urban_low,48,14.78,1,basic,0
Client_1,2023-04-24,22.3,female,32809.66,536,0.58,65989.11,90685.47,14085.3,truck,2018,25293.0,2,urban_low,48,10.09,1,comprehensive,1
Client_1,2023-04-25,43.3,female,43018.75,629,0.53,31048.54,38623.75,8915.63,truck,2015,15157.0,5,urban_high,72,12.52,0,basic,1
Client_1,2023-04-26,23.3,male,38378.43,514,0.57,90042.33,113780.99,7956.69,truck,2012,21072.0,2,urban_high,48,4.93,1,comprehensive,1
Client_1,2023-04-27,32.3,female,107289.63,768,0.2,11554.85,16907.62,1184.37,sports,2017,18323.0,2,urban_high,84,12.0,1,basic,1
Client_1,2023-04-28,30.3,female,42466.26,577,0.3,21044.06,23266.68,2361.49,sedan,2015,24485.0,4,urban_low,36,7.27,0,comprehensive,0
Client_1,2023-04-29,53.3,male,59545.73,654,0.59,26839.68,29588.25,8624.35,luxury,2024,10426.0,5,urban_low,36,8.24,1,comprehensive,1
Client_1,2023-04-30,20.3,male,154413.69,850,0.23,94416.07,122066.02,13058.57,truck,2021,28071.0,3,urban_high,84,4.26,0,comprehensive,1
Client_1,2023-05-01,42.3,male,26806.23,454,0.5,87281.08,108820.74,11089.59,luxury,2014,6813.0,4,rural,72,8.11,0,basic,1
Client_1,2023-05-02,49.3,male,77839.71,746,0.34,58646.76,71385.57,8244.23,truck,2014,28551.0,0,urban_high,72,13.52,0,comprehensive,0
Client_1,2023-05-03,60.3,female,48661.91,597,0.32,91793.3,102054.58,19219.36,sedan,2013,9346.0,3,urban_low,84,4.35,0,basic,1
Client_1,2023-05-04,42.3,female,13988.48,558,0.57,80277.35,97177.64,27005.23,SUV,2023,8036.0,1,rural,72,8.83,0,basic,0
Client_1,2023-05-05,18.3,female,29872.74,440,0.34,79136.26,104407.19,14667.36,sports,2015,16909.0,2,urban_high,48,11.34,0,comprehensive,1
Client_1,2023-05-06,69.3,male,70848.91,813,0.13,35579.1,45894.45,4129.53,luxury,2017,18662.0,3,rural,84,9.43,0,comprehensive,1
Client_1,2023-05-07,24.3,male,56782.3,542,0.32,55352.34,81612.38,13818.85,SUV,2019,15902.0,1,rural,48,4.16,0,comprehensive,1
Client_1,2023-05-08,22.3,female,68560.07,647,0.12,80122.26,90518.31,7881.36,sedan,2015,10440.0,5,urban_high,60,9.02,1,basic,1
Client_1,2023-05-09,66.4,male,20560.96,491,0.54,51269.02,70649.76,17497.21,sports,2014,29653.0,2,urban_high,60,10.17,0,basic,0
Client_1,2023-05-10,52.4,male,32907.75,632,0.33,36579.64,49374.0,12886.86,truck,2019,18865.0,0,rural,36,11.16,0,comprehensive,0
Client_1,2023-05-11,36.4,female,59073.9,684,0.43,94347.5,124673.5,27050.13,sedan,2017,25340.0,0,rural,84,6.98,1,basic,1
Client_1,2023-05-12,55.4,male,40888.55,601,0.44,16177.16,21595.05,3090.83,sports,2023,24207.0,4,urban_low,36,8.73,1,basic,1
Client_1,2023-05-13,20.4,female,59494.02,525,0.52,33072.99,39243.19,10513.44,sedan,2022,27081.0,5,urban_high,84,9.76,1,basic,1
Client_1,2023-05-14,22.4,female,65881.43,598,0.21,57386.62,70747.07,9813.07,luxury,2024,23532.0,0,urban_low,84,5.02,1,basic,1
Client_1,2023-05-15,22.4,female,74167.88,603,0.17,84111.19,110150.35,29928.89,sports,2015,5460.0,1,urban_low,84,11.52,1,comprehensive,0
Client_1,2023-05-16,70.4,male,51112.87,729,0.6,43184.31,56871.32,5532.99,SUV,2012,7329.0,3,urban_low,84,7.64,1,comprehensive,1
Client_1,2023-05-17,52.4,male,51979.55,592,0.59,83392.43,92294.63,8561.09,SUV,2014,9221.0,2,urban_low,60,10.02,1,basic,1
Client_1,2023-05-18,25.4,female,192039.58,850,0.31,52947.54,74654.18,12230.32,luxury,2010,23041.0,1,rural,72,6.86,0,basic,0
Client_1,2023-05-19,32.4,female,178422.48,850,0.28,23296.5,27817.6,4661.69,truck,2011,8793.0,1,rural,48,5.66,0,basic,1
Client_1,2023-05-20,26.4,male,45864.23,584,0.49,31422.39,45031.0,9677.03,luxury,2010,24456.0,0,urban_low,72,14.7,1,basic,0
Client_1,2023-05-21,67.4,male,29618.87,566,0.44,94381.24,128822.73,10851.64,SUV,2018,24191.0,5,urban_high,72,7.58,0,comprehensive,1
Client_1,2023-05-22,26.4,female,91086.08,603,0.12,14238.29,19809.54,3588.26,SUV,2011,10610.0,1,urban_high,72,9.06,1,basic,0
Client_1,2023-05-23,60.4,female,60177.49,776,0.19,50880.77,72453.62,6926.98,truck,2018,13985.0,3,urban_high,72,11.95,0,basic,0
Client_1,2023-05-24,50.4,female,69065.35,734,0.15,96277.74,129073.78,29103.43,sedan,2024,24682.0,1,rural,48,4.43,0,basic,0
Client_1,2023-05-25,36.4,male,22200.28,573,0.58,83160.38,115839.7,9545.2,sedan,2012,16303.0,3,urban_high,48,9.1,0,basic,1
Client_1,2023-05-26,48.4,male,46902.83,588,0.54,75894.63,95836.86,18365.69,SUV,2024,21857.0,0,urban_low,36,8.96,1,basic,0
Client_1,2023-05-27,53.4,female,17537.9,581,0.59,18349.38,26381.48,7710.78,sports,2014,5274.0,3,rural,84,7.0,1,basic,1
Client_1,2023-05-28,53.4,male,57836.83,668,0.44,13406.77,19470.21,1156.26,truck,2019,24902.0,0,urban_high,48,14.76,1,comprehensive,0
Client_1,2023-05-29,35.4,female,18832.58,437,0.32,89199.87,106964.51,10858.88,sedan,2015,5798.0,2,urban_low,72,14.75,0,basic,1
Client_1,2023-05-30,57.4,male,57275.81,679,0.6,24201.15,29366.98,4864.55,sports,2010,8938.0,2,urban_low,84,12.5,0,comprehensive,1
Client_1,2023-05-31,45.4,female,49175.27,604,0.53,60171.23,82616.44,7477.2,luxury,2023,13964.0,1,urban_low,36,4.55,1,basic,0
Client_1,2023-06-01,70.4,female,40626.9,563,0.34,22633.24,26700.25,4371.28,truck,2024,27175.0,5,urban_high,36,13.3,0,basic,1
Client_1,2023-06-02,51.4,male,52689.81,657,0.37,64520.9,77625.68,19606.12,sedan,2014,23420.0,0,urban_high,48,11.12,0,comprehensive,0
Client_1,2023-06-03,34.4,female,92620.71,799,0.21,26624.53,32093.39,9437.09,sports,2021,13153.0,0,urban_high,60,6.22,0,comprehensive,0
Client_1,2023-06-04,28.4,female,59837.53,553,0.46,72298.25,106238.79,20424.85,sedan,2017,9924.0,1,rural,60,14.44,1,comprehensive,0
Client_1,2023-06-05,20.4,female,52518.3,619,0.56,82390.78,94309.9,9466.54,sedan,2011,24274.0,3,urban_high,84,14.55,1,comprehensive,1
Client_1,2023-06-06,54.4,male,168796.44,850,0.36,80971.96,96163.87,15355.53,sedan,2018,6274.0,1,urban_low,84,10.29,1,basic,0
Client_1,2023-06-07,22.4,male,26576.17,443,0.31,76710.29,110295.47,24925.99,sedan,2016,17110.0,0,urban_low,36,10.54,0,basic,0
Client_1,2023-06-08,36.4,female,72202.18,725,0.31,19298.24,24773.03,2087.77,luxury,2010,20272.0,0,urban_low,36,6.9,1,basic,1
Client_1,2023-06-09,35.4,male,37790.38,516,0.3,78513.0,115305.07,17392.26,sedan,2017,12542.0,0,urban_high,72,10.44,0,basic,0
Client_1,2023-06-10,45.4,female,92508.4,665,0.22,56097.59,76093.72,21026.33,SUV,2020,16792.0,0,rural,72,11.07,0,basic,0
Client_1,2023-06-11,49.4,female,83419.56,726,0.2,64668.46,77474.01,14069.87,luxury,2022,8848.0,2,urban_low,84,13.1,1,basic,0
Client_1,2023-06-12,46.4,male,120742.35,850,0.22,98484.26,109200.09,14238.08,SUV,2012,27512.0,2,urban_low,48,4.42,0,basic,1
Client_1,2023-06-13,40.4,female,88338.25,741,0.38,28963.74,32387.17,5252.76,SUV,2015,15052.0,3,urban_high,84,4.57,1,basic,0
Client_1,2023-06-14,18.4,male,17640.82,411,0.44,75278.67,104174.71,10682.02,luxury,2019,15605.0,3,urban_high,72,6.04,0,comprehensive,1
Client_1,2023-06-15,35.5,female,48838.81,592,0.4,18855.97,24340.25,3001.02,SUV,2016,26568.0,0,rural,60,6.23,1,comprehensive,1
Client_1,2023-06-16,46.5,female,22411.25,544,0.32,13899.7,19569.34,2237.47,sports,2018,29492.0,1,urban_low,36,12.33,0,comprehensive,1
Client_1,2023-06-17,23.5,male,25317.44,480,0.4,66248.87,98375.34,13695.2,sports,2013,15876.0,4,rural,48,8.01,1,basic,1
Client_1,2023-06-18,50.5,male,47211.49,657,0.5,37937.35,50031.16,5751.61,sports,2024,5991.0,1,urban_high,48,7.88,1,basic,1
Client_1,2023-06-19,66.5,female,37496.01,597,0.31,43970.14,52297.76,6202.54,sedan,2021,25327.0,0,urban_low,36,4.77,1,comprehensive,1
Client_1,2023-06-20,37.5,female,35662.16,492,0.35,71887.43,105990.93,17710.72,truck,2021,15909.0,5,rural,48,14.04,1,comprehensive,1
Client_1,2023-06-21,64.5,male,20734.34,547,0.41,62027.08,76243.72,11987.31,luxury,2019,7061.0,0,rural,72,4.57,0,basic,0
Client_1,2023-06-22,65.5,male,159346.3,850,0.11,58821.38,71608.48,8757.99,truck,2014,5019.0,3,urban_high,72,6.37,1,basic,0
Client_1,2023-06-23,60.5,male,66752.92,766,0.12,53698.73,63972.89,3952.15,sedan,2014,9170.0,0,urban_low,72,14.06,1,comprehensive,0
Client_1,2023-06-24,33.5,female,45825.83,544,0.54,82374.57,122876.38,24432.85,SUV,2022,19285.0,0,urban_high,72,4.83,1,basic,1
Client_1,2023-06-25,49.5,female,31512.91,580,0.36,11156.91,15660.51,4454.81,sports,2019,28414.0,4,urban_high,72,14.82,0,comprehensive,1
Client_1,2023-06-26,42.5,male,41563.14,451,0.49,96278.72,143681.47,7944.24,sports,2017,20239.0,4,urban_low,72,6.34,1,basic,1
Client_1,2023-06-27,61.5,male,33660.67,483,0.52,52589.68,60408.14,8787.55,sedan,2023,11830.0,0,urban_low,60,9.71,1,basic,0
Client_1,2023-06-28,37.5,male,69281.57,665,0.25,61808.7,73889.69,21016.35,SUV,2021,26997.0,1,urban_low,36,6.4,1,basic,0
