application_id,applicant_id,ds,applicant_age,annual_income,employment_status,credit_score,debt_to_income_ratio,loan_amount_requested,loan_purpose,marital_status,num_dependents,residence_type,years_at_current_address,years_employed,has_previous_loan,previous_loan_default,bank_account_balance,is_approved
47,Applicant_1,2023-02-11,62,32856.26,unemployed,693,0.55,16079.7,car,single,3,family,12,11,1,1,7428.83,0
48,Applicant_1,2023-02-11,18,30598.48,unemployed,470,0.77,45274.53,education,single,3,family,19,20,1,1,5464.43,0
49,Applicant_1,2023-02-12,31,37988.41,self-employed,525,0.72,344.06,personal,divorced,1,family,2,18,1,0,5415.35,1
50,Applicant_1,2023-02-12,66,56562.47,employed,674,0.16,277.97,education,single,1,own,0,2,0,0,7735.26,1
51,Applicant_1,2023-02-15,57,61718.95,employed,690,0.45,4604.66,personal,married,5,family,6,24,1,1,7984.67,0
52,Applicant_1,2023-02-15,59,15189.47,self-employed,575,0.65,89.18,home,single,3,own,5,33,1,0,3167.41,0
53,Applicant_1,2023-02-16,25,21814.48,unemployed,489,0.47,275.97,car,married,5,family,17,38,1,1,3759.27,0
54,Applicant_1,2023-02-18,64,74747.69,self-employed,648,0.4,7874.12,personal,divorced,3,own,15,28,1,0,10010.8,1
55,Applicant_1,2023-02-19,35,55275.53,self-employed,650,0.2,1307.81,personal,divorced,1,rent,14,4,1,0,5068.36,0
56,Applicant_1,2023-02-20,38,37373.1,self-employed,497,0.52,173.27,home,single,1,own,12,9,0,0,6336.4,0
57,Applicant_1,2023-02-22,44,33388.43,unemployed,556,0.65,1040.32,personal,married,0,own,13,24,0,0,4371.73,1
58,Applicant_1,2023-02-24,66,74486.81,self-employed,714,0.47,801.64,personal,married,0,rent,9,24,1,0,9213.83,1
59,Applicant_1,2023-02-25,35,22167.56,unemployed,453,0.62,392.02,personal,single,3,rent,12,10,1,0,3658.34,1
60,Applicant_1,2023-02-25,52,24364.5,employed,466,0.43,1418.93,personal,divorced,4,family,0,5,1,0,4386.97,1
61,Applicant_1,2023-02-26,29,26300.39,employed,394,0.6,1130.65,education,married,2,own,14,20,1,1,4226.48,0
62,Applicant_1,2023-02-26,44,84317.31,unemployed,634,0.47,469.85,home,married,0,family,17,3,1,0,10621.32,0
63,Applicant_1,2023-02-28,67,73115.69,self-employed,724,0.29,1183.61,home,single,1,own,0,39,0,0,10747.75,1
64,Applicant_1,2023-02-28,48,41329.57,self-employed,643,0.33,4982.49,home,divorced,1,rent,8,23,0,0,8044.49,1
65,Applicant_1,2023-03-01,65,42606.78,self-employed,644,0.59,11923.05,home,single,2,own,18,1,1,1,7073.53,0
66,Applicant_1,2023-03-01,63,18483.6,employed,512,0.4,834.82,home,divorced,5,family,7,6,1,0,2912.11,1
67,Applicant_1,2023-03-02,54,42898.26,employed,591,0.68,2973.65,education,divorced,3,family,11,4,1,0,5863.79,1
68,Applicant_1,2023-03-04,70,68715.61,unemployed,735,0.22,1280.64,home,married,2,family,14,9,1,0,11410.82,1
69,Applicant_1,2023-03-05,59,73013.29,unemployed,704,0.36,4042.71,personal,married,3,family,18,17,1,0,9350.9,1
70,Applicant_1,2023-03-06,23,81250.25,unemployed,713,0.32,4345.05,personal,single,3,family,19,24,1,0,9671.23,1
71,Applicant_1,2023-03-07,38,13165.89,employed,552,0.76,4146.88,personal,single,2,rent,10,17,1,0,1432.71,0
72,Applicant_1,2023-03-08,30,58942.3,employed,624,0.28,5949.76,car,divorced,3,rent,17,15,1,1,8480.34,0
73,Applicant_1,2023-03-09,19,16956.72,employed,473,0.4,194.62,education,single,3,family,7,19,1,1,4610.28,0
74,Applicant_1,2023-03-10,40,12241.15,unemployed,558,0.59,33446.06,education,married,5,rent,8,19,1,0,2411.16,0
75,Applicant_1,2023-03-12,30,48055.55,unemployed,508,0.51,3182.92,home,divorced,4,family,5,12,0,0,7879.24,1
76,Applicant_1,2023-03-12,35,37722.95,self-employed,549,0.41,1401.28,education,single,1,rent,7,23,0,0,6817.61,0
77,Applicant_1,2023-03-13,63,32275.71,self-employed,589,0.57,119.25,car,married,0,own,17,18,0,0,5740.51,1
78,Applicant_1,2023-03-14,66,19746.97,unemployed,499,0.35,56748.21,home,single,4,rent,15,30,1,1,3777.48,0
79,Applicant_1,2023-03-15,21,19672.43,unemployed,430,0.49,3913.79,personal,single,0,rent,15,4,0,0,3192.01,0
80,Applicant_1,2023-03-16,69,36749.35,self-employed,641,0.76,9443.59,education,single,1,own,17,26,0,0,4894.59,1
81,Applicant_1,2023-03-17,42,88465.22,unemployed,742,0.12,10941.01,personal,married,4,rent,9,36,0,0,11317.56,1
82,Applicant_1,2023-03-18,65,30360.43,employed,637,0.5,4630.87,car,divorced,1,rent,2,10,0,0,4547.27,0
83,Applicant_1,2023-03-19,22,41355.5,employed,443,0.72,3337.24,home,married,3,family,19,30,1,0,5260.54,0
84,Applicant_1,2023-03-19,63,25558.48,unemployed,509,0.54,22351.49,personal,single,5,own,8,40,0,0,3248.19,0
85,Applicant_1,2023-03-20,52,131486.9,employed,850,0.39,67962.8,car,married,1,own,1,10,1,1,16539.59,0
86,Applicant_1,2023-03-20,47,13309.27,self-employed,534,0.47,4183.89,education,divorced,3,rent,16,34,1,1,4170.67,0
87,Applicant_1,2023-03-21,20,36112.21,unemployed,401,0.47,1181.29,education,divorced,2,own,2,14,0,0,4352.38,1
88,Applicant_1,2023-03-22,61,65801.67,unemployed,702,0.14,9859.85,home,single,3,family,20,28,1,0,8725.37,1
89,Applicant_1,2023-03-22,45,89106.03,self-employed,736,0.43,4577.78,personal,single,3,rent,13,21,1,0,12693.72,1
90,Applicant_1,2023-03-24,39,67574.45,unemployed,643,0.18,7792.16,personal,married,5,rent,17,2,1,0,7942.66,0
91,Applicant_1,2023-03-27,38,91444.74,employed,741,0.41,3039.44,personal,divorced,0,family,17,29,1,0,10268.78,0
92,Applicant_1,2023-03-28,41,32893.11,self-employed,556,0.6,970.73,personal,divorced,3,own,6,17,0,0,3150.51,1
93,Applicant_1,2023-03-28,46,98568.21,self-employed,850,0.18,1244.05,personal,single,0,family,19,15,0,0,12117.73,1
94,Applicant_1,2023-03-30,18,35037.11,self-employed,422,0.6,2165.03,personal,single,1,own,14,7,0,0,5663.24,0
95,Applicant_1,2023-04-04,63,45513.21,unemployed,671,0.5,1390.46,education,married,3,rent,7,29,0,0,5309.48,0
96,Applicant_1,2023-04-04,56,39805.32,self-employed,616,0.32,7107.85,car,single,2,rent,10,32,1,0,6477.82,0
97,Applicant_1,2023-04-08,37,53179.25,self-employed,623,0.43,1260.63,personal,single,3,family,15,22,1,1,6637.18,0
98,Applicant_1,2023-04-08,38,52637.42,employed,604,0.23,38713.31,car,divorced,3,own,13,2,1,1,8088.64,0
99,Applicant_1,2023-04-11,69,88096.58,unemployed,785,0.46,8620.4,personal,divorced,5,own,15,2,0,0,13018.11,1
100,Applicant_1,2023-04-11,55,98619.55,unemployed,723,0.24,8351.93,home,married,0,family,14,0,0,0,9522.36,1
101,Applicant_1,2023-04-12,59,11561.89,employed,580,0.47,11781.16,home,married,2,rent,19,25,0,0,4246.55,1
102,Applicant_1,2023-04-12,61,85213.27,self-employed,770,0.33,12773.36,personal,married,5,family,15,34,0,0,11242.1,1
103,Applicant_1,2023-04-13,33,30452.93,self-employed,479,0.66,35001.43,education,single,5,own,13,6,0,0,5006.48,0
104,Applicant_1,2023-04-13,62,37930.76,unemployed,562,0.49,88062.09,home,single,2,own,9,22,1,1,4859.44,0
105,Applicant_1,2023-04-15,51,177587.92,unemployed,850,0.29,24868.99,car,single,1,own,19,24,0,0,19285.2,1
106,Applicant_1,2023-04-15,55,36813.96,employed,579,0.58,8752.97,car,married,5,rent,14,16,0,0,7248.99,1
107,Applicant_1,2023-04-16,47,20152.98,unemployed,470,0.51,10102.45,car,single,3,rent,18,19,1,1,2514.13,0
108,Applicant_1,2023-04-16,37,31747.93,employed,494,0.66,801.68,personal,married,0,own,12,36,1,1,5379.4,0
109,Applicant_1,2023-04-18,36,26867.59,employed,561,0.33,1819.09,personal,married,0,family,1,38,1,1,4216.48,1
110,Applicant_1,2023-04-18,32,29696.2,self-employed,473,0.72,467.59,education,single,5,own,19,16,0,0,3870.26,1
111,Applicant_1,2023-04-20,58,47518.91,self-employed,564,0.49,902.57,home,married,3,own,18,23,0,0,7412.67,0
112,Applicant_1,2023-04-21,36,46058.12,unemployed,630,0.36,14438.81,personal,single,1,own,17,23,1,0,6358.44,0
113,Applicant_1,2023-04-21,70,35145.83,unemployed,663,0.54,3797.24,education,divorced,2,own,14,4,0,0,6290.06,1
114,Applicant_1,2023-04-22,32,45974.59,self-employed,475,0.38,1014.9,personal,divorced,2,own,12,0,1,0,7503.35,1
115,Applicant_1,2023-04-24,61,25945.83,self-employed,532,0.56,2819.87,education,divorced,3,family,11,6,0,0,5024.03,0
116,Applicant_1,2023-04-24,57,63174.87,self-employed,692,0.31,1252.04,education,divorced,1,family,2,40,1,1,7406.93,0
117,Applicant_1,2023-04-26,25,23495.58,employed,373,0.51,1273.16,home,single,2,rent,3,6,0,0,5478.45,1
118,Applicant_1,2023-04-28,26,112222.86,unemployed,738,0.25,4696.9,personal,married,5,family,17,26,0,0,14388.79,1
119,Applicant_1,2023-04-28,59,61083.45,employed,632,0.31,298.26,personal,divorced,3,rent,1,23,0,0,10904.38,1
120,Applicant_1,2023-04-29,33,80487.62,unemployed,675,0.14,1272.1,home,divorced,2,family,20,22,0,0,9827.24,1
121,Applicant_1,2023-04-29,30,23996.69,employed,515,0.75,24895.58,personal,single,5,own,20,40,0,0,4524.71,0
122,Applicant_1,2023-04-30,39,31939.27,employed,574,0.58,938.44,car,divorced,1,own,17,13,0,0,4569.9,1
123,Applicant_1,2023-05-02,32,131358.59,unemployed,850,0.24,12634.49,car,divorced,0,rent,4,8,1,0,15308.42,1
124,Applicant_1,2023-05-02,19,85676.07,employed,676,0.42,3039.66,home,married,1,family,10,1,0,0,10629.18,0
125,Applicant_1,2023-05-03,26,15574.14,self-employed,383,0.34,23034.07,personal,divorced,0,family,2,30,1,1,4327.33,0
126,Applicant_1,2023-05-04,24,42837.09,unemployed,562,0.65,4191.83,car,divorced,0,family,16,19,1,0,7031.69,0
127,Applicant_1,2023-05-04,48,60027.08,unemployed,621,0.25,17638.08,personal,divorced,0,rent,14,4,0,0,7332.67,0
128,Applicant_1,2023-05-05,27,58387.55,employed,563,0.19,3826.18,car,married,4,family,18,35,1,1,6862.78,1
129,Applicant_1,2023-05-05,51,35956.14,unemployed,588,0.39,90918.44,personal,divorced,4,rent,3,7,0,0,2811.61,1
130,Applicant_1,2023-05-07,32,56098.83,unemployed,640,0.26,7525.74,education,married,3,rent,3,20,1,1,6409.71,0
131,Applicant_1,2023-05-07,41,21541.85,employed,481,0.75,15592.38,personal,single,0,own,2,27,0,0,5305.61,1
132,Applicant_1,2023-05-09,41,38573.61,employed,617,0.71,953.88,home,divorced,4,family,10,7,1,1,5854.01,0
133,Applicant_1,2023-05-09,66,35084.32,unemployed,482,0.66,774.18,home,married,4,rent,11,6,0,0,4598.8,0
134,Applicant_1,2023-05-10,48,23079.74,employed,560,0.62,187426.66,home,married,4,rent,3,17,0,0,4092.29,1
135,Applicant_1,2023-05-11,53,30895.55,self-employed,616,0.69,184.53,home,divorced,5,family,8,1,0,0,4099.97,0
136,Applicant_1,2023-05-11,66,39089.29,unemployed,614,0.33,2127.05,education,married,0,own,4,36,1,0,7116.52,0
137,Applicant_1,2023-05-14,58,40751.32,employed,629,0.61,2461.33,home,divorced,4,own,12,26,1,1,6630.28,0
138,Applicant_1,2023-05-15,37,15102.36,self-employed,452,0.57,4561.18,education,divorced,4,own,1,9,0,0,3229.62,1
139,Applicant_1,2023-05-15,21,43795.77,self-employed,460,0.54,444.95,home,married,3,family,13,31,1,1,5050.43,0
140,Applicant_1,2023-05-16,66,83074.18,self-employed,744,0.34,901.96,home,married,3,own,9,37,1,1,10231.65,0
141,Applicant_1,2023-05-16,43,31135.6,self-employed,498,0.7,4130.95,home,single,1,rent,6,8,1,1,7059.43,0
142,Applicant_1,2023-05-17,18,51318.69,unemployed,595,0.4,10472.9,personal,single,1,rent,17,14,1,0,8499.85,0
143,Applicant_1,2023-05-18,65,71497.84,employed,787,0.12,1871.47,personal,single,3,own,10,36,1,1,9265.47,1
144,Applicant_1,2023-05-18,44,19428.61,unemployed,624,0.46,5096.4,home,married,0,rent,5,39,1,1,3355.59,0
145,Applicant_1,2023-05-19,24,32978.47,employed,476,0.51,7985.04,personal,divorced,3,family,2,25,1,1,6089.5,0
146,Applicant_1,2023-05-19,67,35121.26,employed,581,0.56,22511.55,home,divorced,5,own,16,32,0,0,6809.53,1
147,Applicant_1,2023-05-21,40,57018.29,unemployed,513,0.29,3359.3,car,single,0,own,8,12,0,0,8715.14,1
148,Applicant_1,2023-05-21,66,12835.77,self-employed,469,0.59,3878.22,home,single,5,rent,14,36,1,1,4672.17,0
149,Applicant_1,2023-05-22,58,67176.63,unemployed,742,0.31,13564.42,car,married,0,rent,14,40,1,1,8521.4,1
150,Applicant_1,2023-05-22,40,21014.08,self-employed,369,0.8,7795.92,home,married,3,rent,1,3,1,1,3929.49,0
151,Applicant_1,2023-05-23,23,35877.35,self-employed,463,0.59,1078.62,personal,married,4,family,1,28,0,0,4066.49,0
152,Applicant_1,2023-05-24,48,31787.91,self-employed,515,0.56,182.72,car,single,3,own,10,5,0,0,4879.05,0
153,Applicant_1,2023-05-26,63,45582.62,unemployed,676,0.59,5943.85,personal,divorced,4,family,5,23,1,1,6308.53,0
154,Applicant_1,2023-05-26,67,22545.04,unemployed,556,0.78,1126.84,home,divorced,5,rent,2,21,0,0,5056.36,0
155,Applicant_1,2023-05-27,42,41647.76,unemployed,568,0.74,10376.66,education,divorced,5,family,4,21,0,0,6372.39,0
156,Applicant_1,2023-05-27,27,33705.13,unemployed,462,0.72,7534.22,education,divorced,5,family,12,8,0,0,4866.81,0
157,Applicant_1,2023-05-28,42,29497.66,self-employed,518,0.78,6020.02,education,single,5,family,16,5,1,1,5457.96,0
158,Applicant_1,2023-05-28,37,19446.31,employed,502,0.56,7686.11,car,married,3,own,7,8,0,0,6398.47,0
159,Applicant_1,2023-05-31,68,38343.27,employed,543,0.55,85264.38,home,divorced,2,family,4,38,1,0,5168.39,0
160,Applicant_1,2023-06-02,62,11815.49,self-employed,474,0.44,1203.58,car,divorced,3,own,13,23,0,0,3150.6,1
161,Applicant_1,2023-06-02,57,46787.31,unemployed,616,0.67,700.35,personal,single,4,own,9,30,0,0,5825.32,0
162,Applicant_1,2023-06-03,54,37152.86,unemployed,552,0.78,3180.86,personal,married,3,family,16,26,0,0,6745.76,1
163,Applicant_1,2023-06-03,69,39170.72,self-employed,677,0.63,15608.5,car,married,0,family,15,23,0,0,6049.64,1
164,Applicant_1,2023-06-05,51,39288.25,employed,669,0.73,1145.07,education,single,1,rent,14,32,0,0,5454.68,1
165,Applicant_1,2023-06-05,23,28788.94,employed,418,0.42,740.7,personal,married,0,rent,1,25,1,0,5473.26,0
166,Applicant_1,2023-06-06,23,61089.97,unemployed,574,0.1,1322.33,car,single,2,own,20,21,0,0,8747.89,0
167,Applicant_1,2023-06-06,36,79511.26,unemployed,698,0.2,7933.12,car,divorced,3,rent,19,0,0,0,8058.58,0
168,Applicant_1,2023-06-09,31,31522.14,employed,454,0.3,2139.24,personal,single,2,own,9,7,0,0,5341.94,0
169,Applicant_1,2023-06-09,58,65722.31,self-employed,683,0.26,6875.83,personal,single,0,rent,19,34,0,0,7868.34,1
170,Applicant_1,2023-06-10,54,27507.85,employed,575,0.69,9208.24,car,married,3,own,19,22,0,0,5727.68,0
171,Applicant_1,2023-06-10,29,25649.75,self-employed,470,0.34,1236.67,home,divorced,2,own,16,34,0,0,6475.78,1
172,Applicant_1,2023-06-11,48,63059.47,employed,744,0.25,16397.88,personal,married,2,family,0,22,0,0,7848.98,1
173,Applicant_1,2023-06-11,64,34320.71,self-employed,541,0.77,20910.14,home,divorced,5,rent,4,2,1,1,5539.75,0
174,Applicant_1,2023-06-12,29,55107.6,self-employed,550,0.41,1441.64,personal,divorced,3,family,5,8,0,0,7156.14,1
175,Applicant_1,2023-06-13,47,14423.5,employed,456,0.46,12249.61,education,single,0,own,1,20,1,1,4302.45,0
176,Applicant_1,2023-06-14,52,43342.17,unemployed,585,0.66,520.7,education,single,5,own,9,22,0,0,8898.28,1
177,Applicant_1,2023-06-16,39,19774.0,unemployed,488,0.4,34193.1,home,married,3,rent,14,24,1,0,1496.11,0
178,Applicant_1,2023-06-19,49,46953.71,unemployed,591,0.78,2339.19,education,single,5,rent,2,27,0,0,5354.1,0
179,Applicant_1,2023-06-20,38,17799.71,employed,501,0.58,1260.38,home,married,5,rent,9,28,1,0,3315.58,1
180,Applicant_1,2023-06-21,40,18709.24,unemployed,537,0.6,4650.31,home,divorced,2,family,13,17,0,0,3830.07,0
181,Applicant_1,2023-06-22,58,34217.79,unemployed,526,0.64,4879.23,education,divorced,5,family,5,1,0,0,5349.5,1
182,Applicant_1,2023-06-22,61,57006.03,unemployed,737,0.4,12207.09,home,single,0,own,20,23,1,1,8546.62,1
183,Applicant_1,2023-06-23,20,30894.14,self-employed,467,0.54,1194.83,car,divorced,3,rent,11,28,0,0,3942.92,0
184,Applicant_1,2023-06-24,51,37468.33,unemployed,537,0.74,373.14,personal,married,5,rent,7,7,0,0,4639.51,1
185,Applicant_1,2023-06-24,49,57506.39,self-employed,668,0.12,5053.5,personal,divorced,0,rent,8,28,0,0,7883.42,1
186,Applicant_1,2023-06-26,36,85037.54,self-employed,769,0.35,5207.94,personal,single,0,own,2,28,0,0,10331.82,1
187,Applicant_1,2023-06-26,46,39070.54,employed,594,0.69,1802.41,education,divorced,2,family,2,35,1,1,8320.45,0
188,Applicant_1,2023-06-27,63,50297.2,self-employed,754,0.34,2562.57,car,married,4,own,3,12,0,0,8528.28,1
189,Applicant_1,2023-07-01,49,84357.93,employed,712,0.34,1905.59,education,divorced,4,rent,14,35,0,0,12599.45,1
190,Applicant_1,2023-07-01,23,16667.38,employed,476,0.54,7021.91,education,married,5,family,15,33,1,1,4041.99,0
191,Applicant_1,2023-07-02,22,27405.61,employed,454,0.38,6367.66,education,divorced,0,rent,14,33,1,0,2743.15,1
192,Applicant_1,2023-07-06,67,23820.78,self-employed,574,0.5,1606.05,car,single,3,family,1,7,0,0,2970.12,0
193,Applicant_1,2023-07-06,28,46218.52,unemployed,520,0.39,2597.65,car,married,4,rent,2,16,0,0,7124.64,1
194,Applicant_1,2023-07-07,53,43992.39,unemployed,656,0.67,3111.61,car,divorced,2,family,17,5,0,0,7979.47,0
195,Applicant_1,2023-07-07,55,58462.85,employed,809,0.34,2632.59,car,divorced,4,family,19,21,0,0,7473.12,1
196,Applicant_1,2023-07-08,19,77254.69,employed,706,0.42,786.57,home,divorced,4,rent,20,13,1,0,8362.43,1
197,Applicant_1,2023-07-09,58,25945.55,self-employed,442,0.72,9172.39,education,divorced,2,rent,7,25,1,1,3877.27,0
198,Applicant_1,2023-07-09,21,83157.71,employed,574,0.35,4213.13,personal,married,3,rent,6,21,0,0,7991.09,1
199,Applicant_1,2023-07-11,63,25543.83,unemployed,562,0.52,2208.55,education,married,1,rent,16,35,0,0,3706.86,0
200,Applicant_1,2023-07-14,47,78521.52,employed,799,0.37,4457.42,education,married,1,own,3,3,1,1,9138.54,1
201,Applicant_1,2023-07-14,44,23459.36,employed,426,0.73,3057.42,car,married,4,family,10,12,0,0,4252.17,0
202,Applicant_1,2023-07-15,50,16167.71,unemployed,576,0.42,5708.53,personal,married,3,own,2,25,1,0,3317.26,0
203,Applicant_1,2023-07-16,40,13914.16,employed,430,0.52,788.0,home,married,3,family,20,30,1,0,3815.56,1
204,Applicant_1,2023-07-16,45,108540.12,employed,745,0.48,979.43,education,divorced,2,rent,11,2,1,0,11549.36,1
205,Applicant_1,2023-07-17,30,73296.76,unemployed,561,0.24,28058.11,education,single,3,family,14,35,1,0,9507.43,0
206,Applicant_1,2023-07-17,24,28742.83,unemployed,558,0.73,32080.56,education,married,4,rent,4,12,1,0,7182.07,0
207,Applicant_1,2023-07-18,26,30920.93,self-employed,459,0.33,465.91,education,married,4,rent,4,38,0,0,5721.34,1
208,Applicant_2,2023-01-03,57,46096.94,unemployed,510,0.36,135818.2,car,married,4,family,9,37,1,1,7022.75,1
209,Applicant_2,2023-01-03,37,48515.81,unemployed,633,0.39,9041.9,home,married,2,family,3,26,1,0,6597.83,1
210,Applicant_2,2023-01-07,34,42547.27,self-employed,621,0.43,14835.46,car,divorced,0,family,15,10,1,0,5341.78,1
211,Applicant_2,2023-01-07,33,45151.46,employed,596,0.7,1272.03,home,single,0,rent,10,26,0,0,6947.34,0
212,Applicant_2,2023-01-08,31,20515.52,unemployed,447,0.42,2642.85,personal,divorced,5,own,4,33,0,0,5144.82,0
213,Applicant_2,2023-01-09,60,18846.45,unemployed,544,0.46,1042.6,personal,married,1,rent,17,21,1,1,3241.65,0
214,Applicant_2,2023-01-11,30,18709.56,employed,488,0.62,8106.9,education,divorced,2,own,9,18,0,0,2321.42,1
215,Applicant_2,2023-01-12,49,26664.64,unemployed,628,0.52,14241.47,personal,married,4,family,8,18,0,0,4146.61,0
216,Applicant_2,2023-01-12,52,15922.03,unemployed,556,0.75,969.76,personal,married,1,rent,1,18,0,0,4460.31,0
217,Applicant_2,2023-01-13,46,63917.7,self-employed,740,0.26,345.24,education,divorced,3,own,6,34,1,1,7169.53,0
218,Applicant_2,2023-01-13,57,21780.76,self-employed,643,0.72,1364.62,car,single,0,family,16,14,0,0,4383.5,0
219,Applicant_2,2023-01-14,44,18533.14,unemployed,531,0.6,576.56,personal,single,5,own,0,35,0,0,4586.29,0
220,Applicant_2,2023-01-15,48,18423.32,unemployed,492,0.33,314.39,car,married,2,rent,20,3,0,0,2512.69,1
