application_id,applicant_id,ds,applicant_age,annual_income,employment_status,credit_score,debt_to_income_ratio,loan_amount_requested,property_value,down_payment,loan_term_years,interest_rate,marital_status,num_dependents,residence_type,years_at_current_job,has_previous_mortgage,previous_default,bank_account_balance,is_approved
16,Applicant_1,2023-01-12,61,34649.2,retired,578,0.5,262701.96,480139.2,125556.11,20,3.28,divorced,3,own_other,13,1,1,12913.95,1
17,Applicant_1,2023-01-12,28,30790.55,retired,615,0.31,344054.97,590723.05,66233.37,25,5.4,single,1,rent,6,1,0,20494.26,0
18,Applicant_1,2023-01-14,42,96684.36,self-employed,746,0.2,162412.9,314855.68,59390.01,15,3.15,divorced,0,rent,29,0,0,19904.23,1
19,Applicant_1,2023-01-14,56,30968.16,self-employed,739,0.38,146186.28,222324.81,24839.7,30,3.01,married,2,own_other,9,1,1,16136.42,0
20,Applicant_1,2023-01-15,43,73620.37,employed,698,0.31,485919.21,808250.92,168471.05,25,3.17,divorced,3,family,29,0,0,29084.88,0
21,Applicant_1,2023-01-17,57,118446.51,employed,850,0.27,433104.15,543466.47,61733.54,20,4.21,divorced,1,family,19,0,0,33665.82,1
22,Applicant_1,2023-01-18,51,27298.69,retired,758,0.21,312652.53,505942.51,145175.78,20,5.01,married,1,own_other,12,0,0,17443.61,1
23,Applicant_1,2023-01-19,44,59528.37,self-employed,704,0.28,192279.74,346390.33,39664.68,30,4.86,divorced,0,rent,17,0,0,23541.79,1
24,Applicant_1,2023-01-20,33,77133.09,self-employed,672,0.37,446388.88,849663.82,147761.14,20,4.31,divorced,2,family,25,0,0,27134.57,1
25,Applicant_1,2023-01-23,60,70841.44,self-employed,757,0.22,469290.22,602037.97,165936.95,25,3.35,single,4,rent,8,1,0,19420.69,1
26,Applicant_1,2023-01-24,38,44424.72,retired,655,0.31,335407.08,473322.15,93578.81,15,3.28,married,2,rent,0,1,0,10139.6,0
27,Applicant_1,2023-01-28,41,103586.77,employed,712,0.29,383553.91,629544.04,116803.95,15,3.34,divorced,1,family,1,1,0,24978.75,1
28,Applicant_1,2023-01-28,27,119946.54,self-employed,660,0.16,214093.18,416726.04,122700.5,15,5.7,single,1,family,3,1,1,28854.0,1
29,Applicant_1,2023-01-29,34,74973.28,employed,768,0.29,439072.56,869787.3,228018.52,30,3.07,divorced,2,own_other,25,0,0,17237.49,1
30,Applicant_1,2023-01-29,31,46386.02,self-employed,605,0.2,442475.05,834894.94,120631.25,30,4.05,single,1,rent,21,0,0,20253.94,0
31,Applicant_1,2023-01-30,42,33135.72,employed,687,0.22,485100.1,690442.96,157625.61,30,5.04,divorced,2,rent,3,1,0,13847.42,1
32,Applicant_1,2023-01-30,41,56169.69,employed,604,0.4,98781.15,152878.74,37563.68,25,4.31,divorced,0,own_other,28,0,0,31235.68,0
33,Applicant_1,2023-01-31,52,37922.27,employed,675,0.49,283964.16,523973.13,124376.25,20,4.09,single,2,family,10,0,0,18333.62,1
34,Applicant_1,2023-02-01,44,64244.65,retired,717,0.3,189178.1,288820.91,52126.42,25,4.66,single,3,family,30,1,0,13447.37,1
35,Applicant_1,2023-02-01,44,45677.32,self-employed,719,0.49,296571.75,355982.41,56025.49,30,5.36,divorced,2,own_other,14,1,0,25187.46,1
36,Applicant_1,2023-02-02,35,55513.53,retired,644,0.41,88157.99,142142.56,32207.82,25,3.28,single,2,rent,25,0,0,14646.63,0
37,Applicant_1,2023-02-03,27,56749.54,employed,615,0.33,492771.21,832300.02,211152.74,30,4.24,divorced,4,rent,22,1,1,17062.16,0
38,Applicant_1,2023-02-04,34,91126.39,retired,784,0.11,359430.09,687995.14,187195.3,15,5.34,single,1,family,16,1,0,24838.2,1
39,Applicant_1,2023-02-04,32,56515.11,self-employed,696,0.27,110002.6,172892.69,35655.03,25,5.85,married,4,family,28,1,1,22222.3,1
40,Applicant_1,2023-02-05,55,79933.36,self-employed,850,0.33,166636.2,232922.71,52997.44,30,4.88,married,3,rent,22,1,0,27120.92,1
41,Applicant_1,2023-02-06,45,33130.63,retired,683,0.24,86259.95,113920.45,20119.16,20,5.12,single,3,own_other,10,1,1,13226.1,0
42,Applicant_1,2023-02-06,51,52485.75,self-employed,695,0.49,457177.32,762235.07,182253.91,30,4.43,married,2,own_other,27,1,0,17477.27,1
43,Applicant_1,2023-02-07,42,84926.9,self-employed,744,0.17,268538.9,405785.3,94862.35,30,5.17,married,1,family,17,0,0,37550.94,1
44,Applicant_1,2023-02-07,62,46667.19,retired,721,0.2,348349.89,441414.34,81980.6,30,3.55,married,3,own_other,6,1,1,21956.48,0
45,Applicant_1,2023-02-09,49,59928.46,self-employed,748,0.36,388404.42,724583.76,109016.75,15,4.41,divorced,4,rent,30,1,0,26848.86,1
46,Applicant_1,2023-02-09,27,129603.8,employed,729,0.26,477325.28,648918.25,67536.82,20,3.72,married,0,family,30,0,0,40551.92,1
47,Applicant_1,2023-02-11,41,87077.42,self-employed,803,0.13,125505.11,211576.27,52806.29,15,5.33,single,2,rent,18,0,0,29821.57,1
48,Applicant_1,2023-02-11,61,75623.97,retired,820,0.4,458611.77,688030.27,198355.08,20,3.23,divorced,1,rent,22,1,0,27359.24,1
49,Applicant_1,2023-02-12,61,42852.21,employed,687,0.26,206241.69,318169.56,55397.83,25,3.04,married,3,rent,13,1,1,16477.9,1
50,Applicant_1,2023-02-12,52,56629.8,employed,639,0.4,380207.89,749914.05,115499.12,30,4.39,divorced,4,own_other,10,0,0,26910.43,1
51,Applicant_1,2023-02-15,30,130282.62,self-employed,673,0.17,446734.03,623234.52,120247.92,30,4.01,married,2,rent,15,0,0,35914.42,0
52,Applicant_1,2023-02-15,41,25381.8,self-employed,599,0.48,175846.32,294880.91,81393.46,15,4.55,single,0,rent,23,1,1,21708.72,0
53,Applicant_1,2023-02-16,40,57237.28,retired,655,0.49,264241.9,467569.15,88667.43,15,3.28,single,3,family,7,1,1,10363.65,0
54,Applicant_1,2023-02-18,58,119944.35,self-employed,850,0.25,241476.72,433872.89,72091.56,30,3.81,married,1,rent,23,0,0,42428.96,1
55,Applicant_1,2023-02-19,59,49817.35,retired,703,0.37,133317.43,183059.19,36033.32,25,5.94,single,2,rent,11,0,0,20865.93,0
56,Applicant_1,2023-02-20,59,102285.25,employed,822,0.25,173440.1,343313.56,72326.48,20,4.91,married,0,rent,18,1,1,24901.23,1
57,Applicant_1,2023-02-22,46,43764.18,employed,618,0.36,484473.94,679224.09,184983.01,15,5.47,married,3,rent,18,0,0,6469.87,0
58,Applicant_1,2023-02-24,61,57626.28,self-employed,715,0.22,88331.41,123536.14,26142.05,30,4.82,divorced,1,family,12,1,1,20033.75,0
59,Applicant_1,2023-02-25,62,72840.03,self-employed,757,0.4,187421.11,318020.24,70577.02,15,5.84,single,1,own_other,21,0,0,17856.44,0
60,Applicant_1,2023-02-25,36,11136.15,retired,678,0.26,83779.19,100714.37,19145.88,30,3.87,single,2,family,9,1,0,22943.26,1
61,Applicant_1,2023-02-26,41,148276.39,retired,794,0.29,315405.32,581331.28,81132.83,15,4.63,divorced,1,own_other,26,0,0,44100.2,0
62,Applicant_1,2023-02-26,35,76728.78,self-employed,687,0.33,317769.82,590858.73,167944.8,30,3.37,divorced,2,family,12,1,1,25646.92,0
63,Applicant_1,2023-02-28,63,46503.31,employed,672,0.47,450240.3,804861.78,177667.39,15,3.27,divorced,4,family,30,0,0,19522.42,1
64,Applicant_1,2023-02-28,42,33254.2,retired,684,0.46,68104.25,122929.2,23860.58,30,5.75,single,4,own_other,20,1,0,9342.06,0
65,Applicant_1,2023-03-01,51,51088.55,self-employed,730,0.47,194476.22,249645.21,32994.35,30,5.08,married,3,family,1,1,0,11501.28,0
66,Applicant_1,2023-03-01,45,102205.32,employed,732,0.18,486583.13,741231.56,150410.15,15,4.97,divorced,3,own_other,1,0,0,39744.95,1
67,Applicant_1,2023-03-02,64,35966.0,self-employed,774,0.3,331433.93,599230.04,84318.65,20,5.78,married,3,rent,0,0,0,9260.88,1
68,Applicant_1,2023-03-04,44,48480.23,retired,756,0.42,56153.51,85712.3,12423.15,15,4.38,single,1,own_other,29,1,1,10121.51,0
69,Applicant_1,2023-03-05,55,82766.53,self-employed,778,0.25,159678.91,262035.01,46306.09,20,5.59,married,3,own_other,29,1,0,21032.2,1
70,Applicant_1,2023-03-06,44,87621.87,retired,695,0.12,310965.52,537333.68,146720.1,30,4.62,married,2,family,24,1,1,15228.41,1
71,Applicant_1,2023-03-07,37,16611.14,retired,687,0.44,157462.49,237197.83,64328.67,30,3.13,divorced,3,family,29,1,1,13550.27,1
72,Applicant_1,2023-03-08,34,72735.86,self-employed,663,0.48,484171.0,629905.02,184606.72,25,5.61,married,0,family,29,1,0,24027.97,1
73,Applicant_1,2023-03-09,51,55048.21,retired,726,0.41,486480.56,612898.66,157089.03,25,4.02,divorced,3,family,2,1,1,17500.57,1
74,Applicant_1,2023-03-10,65,36917.63,retired,808,0.47,449347.41,714623.24,148786.85,15,3.7,divorced,2,rent,23,0,0,13875.03,1
75,Applicant_1,2023-03-12,31,38646.79,retired,622,0.3,366750.87,469589.94,62583.64,25,5.71,single,2,rent,9,1,1,20042.98,0
76,Applicant_1,2023-03-12,40,35581.28,retired,591,0.28,235423.29,410917.29,55889.43,20,3.24,married,4,family,7,1,0,14324.15,0
77,Applicant_1,2023-03-13,65,30859.34,self-employed,692,0.34,256806.72,445167.41,124549.7,30,5.7,divorced,4,rent,2,1,1,24810.61,1
78,Applicant_1,2023-03-14,44,28387.36,retired,631,0.22,482913.08,846184.84,161931.99,25,3.6,married,3,rent,7,1,1,13659.7,0
79,Applicant_1,2023-03-15,43,56308.77,employed,721,0.37,490075.02,846155.61,131066.18,15,5.73,divorced,3,own_other,24,0,0,21972.01,1
80,Applicant_1,2023-03-16,47,100566.98,employed,729,0.26,336478.05,570906.65,134478.71,20,4.88,divorced,0,own_other,25,1,0,24264.31,1
81,Applicant_1,2023-03-17,33,70990.95,employed,671,0.31,459332.52,671257.19,122907.61,20,3.4,divorced,2,family,16,1,0,21119.26,0
82,Applicant_1,2023-03-18,55,122772.92,self-employed,804,0.11,385951.71,567724.23,69849.35,15,3.42,single,3,family,11,0,0,40717.15,1
83,Applicant_1,2023-03-19,25,71056.35,self-employed,743,0.42,291457.54,455789.7,106912.62,25,4.75,divorced,2,rent,21,0,0,25043.42,1
84,Applicant_1,2023-03-19,64,89659.8,retired,832,0.18,197602.83,333566.57,76563.69,30,5.73,married,3,rent,4,0,0,31996.24,1
85,Applicant_1,2023-03-20,44,41365.01,self-employed,644,0.28,102254.22,141912.49,29448.17,30,4.36,divorced,4,own_other,18,0,0,13912.48,1
86,Applicant_1,2023-03-20,31,42808.33,self-employed,654,0.21,327043.5,638141.15,99516.85,25,3.65,married,1,own_other,3,1,1,21033.71,0
87,Applicant_1,2023-03-21,42,10518.76,employed,626,0.45,485693.09,951574.1,252013.19,15,4.99,divorced,4,rent,1,1,0,16789.11,1
88,Applicant_1,2023-03-22,61,45041.38,employed,753,0.34,80874.57,146554.9,20727.48,20,5.44,single,2,rent,25,0,0,25718.72,0
89,Applicant_1,2023-03-22,34,120378.57,employed,705,0.23,293096.96,538949.92,65743.95,15,3.4,married,1,family,10,0,0,35091.28,1
90,Applicant_1,2023-03-24,28,61376.75,employed,728,0.37,383773.13,622045.74,154972.16,30,4.34,married,4,family,3,1,0,28645.32,1
91,Applicant_1,2023-03-27,27,67886.84,retired,628,0.36,402452.15,762077.24,155684.94,30,4.93,single,0,own_other,27,1,1,27907.72,0
92,Applicant_1,2023-03-28,56,56852.3,retired,740,0.41,459365.37,578245.72,67167.92,20,3.2,married,4,family,18,1,1,11951.04,1
93,Applicant_1,2023-03-28,58,54320.93,self-employed,803,0.45,254171.94,428112.33,51303.14,15,5.56,divorced,4,family,27,0,0,21504.39,1
94,Applicant_1,2023-03-30,39,47067.16,self-employed,609,0.37,202519.23,316496.87,57981.57,15,3.94,married,2,own_other,30,0,0,16402.15,1
95,Applicant_1,2023-04-04,55,76309.07,employed,642,0.34,91051.15,115479.4,21522.51,25,5.44,divorced,0,family,30,1,0,16441.18,0
96,Applicant_1,2023-04-04,52,126746.5,retired,741,0.24,73150.74,104613.13,16998.56,15,4.73,single,1,family,15,0,0,38154.47,1
97,Applicant_1,2023-04-08,47,98573.49,retired,731,0.2,215402.47,389896.68,83757.6,30,5.54,divorced,4,family,20,0,0,30094.94,1
98,Applicant_1,2023-04-08,42,71430.48,employed,731,0.3,131187.23,231172.76,37403.05,25,4.05,single,1,family,21,1,0,21642.48,0
99,Applicant_1,2023-04-11,65,53213.64,employed,749,0.36,91290.96,148291.77,25986.48,30,4.02,married,2,family,10,0,0,9913.44,1
100,Applicant_1,2023-04-11,34,77378.99,employed,621,0.23,389496.15,482901.21,56169.29,30,4.99,married,4,own_other,13,1,0,19674.17,1
101,Applicant_1,2023-04-12,32,159871.63,self-employed,748,0.2,243461.14,347320.97,81862.6,30,4.58,married,0,rent,12,0,0,40079.04,0
102,Applicant_1,2023-04-12,44,35249.63,employed,679,0.5,395307.29,716031.44,113053.79,15,3.02,divorced,3,rent,4,1,0,13173.77,0
103,Applicant_1,2023-04-13,47,89307.93,employed,737,0.15,228682.03,410171.65,76802.15,30,5.76,married,4,own_other,18,1,1,28822.04,0
104,Applicant_1,2023-04-13,50,133060.12,employed,774,0.13,484789.86,648405.73,187728.28,30,5.5,married,0,own_other,27,0,0,37249.2,1
105,Applicant_1,2023-04-15,62,73138.45,self-employed,724,0.45,285783.14,433422.53,70238.25,25,3.66,single,0,family,20,0,0,22836.64,1
106,Applicant_1,2023-04-15,37,93988.88,self-employed,664,0.25,207994.88,409038.3,93706.01,20,3.71,single,2,rent,5,0,0,27664.03,1
107,Applicant_1,2023-04-16,29,68183.69,employed,592,0.45,478081.46,813866.29,156905.78,30,5.04,divorced,4,own_other,27,1,0,24013.07,0
108,Applicant_1,2023-04-16,55,38657.48,self-employed,672,0.34,334123.3,613805.81,133983.96,25,4.52,married,3,own_other,1,0,0,11765.2,0
109,Applicant_1,2023-04-18,43,117189.72,employed,684,0.2,340099.91,674042.25,79576.96,30,4.39,divorced,0,own_other,29,0,0,41252.01,0
110,Applicant_1,2023-04-18,55,79048.76,retired,850,0.37,117887.48,147300.29,17779.2,25,5.95,single,4,family,5,0,0,32764.27,0
111,Applicant_1,2023-04-20,53,27958.09,self-employed,634,0.47,285830.85,482437.98,83355.44,25,4.16,married,4,rent,25,1,0,8515.61,0
112,Applicant_1,2023-04-21,60,80636.01,retired,661,0.29,223953.89,313893.02,84849.44,20,4.0,divorced,1,own_other,9,1,0,26019.83,1
113,Applicant_1,2023-04-21,30,54007.63,self-employed,532,0.46,301514.93,517036.18,85670.47,20,5.01,divorced,4,rent,20,1,1,21671.36,0
114,Applicant_1,2023-04-22,44,94271.67,employed,729,0.24,478026.19,704317.04,178355.08,20,3.68,single,1,rent,9,0,0,31111.39,1
115,Applicant_1,2023-04-24,59,79472.8,retired,802,0.36,447656.97,550706.71,92162.35,20,4.79,single,1,rent,26,0,0,32104.41,1
116,Applicant_1,2023-04-24,27,57360.91,self-employed,594,0.42,213934.74,379877.18,111652.64,25,5.26,married,1,family,7,1,1,24665.3,1
117,Applicant_1,2023-04-26,37,150766.89,self-employed,777,0.25,355238.07,588393.43,110688.27,25,5.33,divorced,4,own_other,30,0,0,40218.14,1
118,Applicant_1,2023-04-28,63,38644.15,employed,722,0.38,442850.86,549907.33,107846.8,25,4.66,single,4,rent,9,0,0,20112.97,1
119,Applicant_1,2023-04-28,42,41192.65,self-employed,563,0.36,457387.79,602781.73,113018.27,20,5.45,married,0,own_other,1,1,1,11237.45,0
120,Applicant_1,2023-04-29,30,67159.87,self-employed,630,0.24,151042.44,219758.88,26330.77,25,5.37,single,0,own_other,29,1,0,24736.51,1
121,Applicant_1,2023-04-29,55,197785.65,self-employed,836,0.26,326906.72,629192.78,65310.7,20,5.5,divorced,4,family,13,0,0,46758.42,1
122,Applicant_1,2023-04-30,40,127072.44,self-employed,724,0.29,104831.76,145794.93,33210.68,30,3.19,married,4,family,0,0,0,29205.28,1
123,Applicant_1,2023-05-02,43,79989.59,self-employed,737,0.43,50703.95,75156.08,16093.38,20,4.99,single,4,own_other,2,0,0,28578.54,1
124,Applicant_1,2023-05-02,55,75943.64,employed,716,0.39,336051.86,667006.32,100537.9,15,4.07,single,2,rent,23,0,0,21785.01,1
125,Applicant_1,2023-05-03,46,52207.31,employed,724,0.38,69951.06,114496.66,30078.48,20,5.49,divorced,3,family,15,0,0,17937.53,1
126,Applicant_1,2023-05-04,29,155361.42,retired,772,0.22,399285.68,625338.74,99234.08,15,5.37,single,2,own_other,16,1,1,42550.04,0
127,Applicant_1,2023-05-04,37,18710.2,self-employed,708,0.37,210638.38,384346.22,104987.88,25,3.82,married,3,own_other,23,1,1,7689.53,0
128,Applicant_1,2023-05-05,36,26723.39,self-employed,600,0.27,361430.82,539933.39,140090.13,25,5.4,divorced,3,rent,13,0,0,15619.28,1
129,Applicant_1,2023-05-05,45,19062.33,employed,729,0.3,86031.01,148724.85,23989.2,30,3.5,married,2,own_other,1,1,1,18393.32,0
130,Applicant_1,2023-05-07,28,103278.19,employed,774,0.21,352032.75,536838.74,108772.77,20,5.86,single,4,family,25,1,0,30493.99,1
131,Applicant_1,2023-05-07,40,97249.87,retired,756,0.13,214847.81,323621.72,69076.71,20,5.04,married,2,own_other,24,0,0,32743.5,1
132,Applicant_1,2023-05-09,58,38003.03,self-employed,798,0.23,229115.32,393997.84,59069.07,15,3.08,single,3,family,12,0,0,17406.54,1
133,Applicant_1,2023-05-09,41,19488.86,retired,679,0.34,250822.9,500916.43,78701.67,30,3.6,single,0,own_other,5,1,0,14173.55,1
134,Applicant_1,2023-05-10,45,209576.6,retired,797,0.18,206341.38,258329.35,53844.69,25,5.55,divorced,1,own_other,16,0,0,66796.31,1
135,Applicant_1,2023-05-11,37,116450.23,employed,830,0.24,156531.28,249701.45,42993.42,25,4.4,divorced,1,family,28,0,0,39199.92,0
136,Applicant_1,2023-05-11,50,71616.87,retired,719,0.27,373491.35,605263.84,153635.88,15,3.38,married,0,own_other,14,1,0,25955.49,1
137,Applicant_1,2023-05-14,60,25855.29,retired,680,0.38,314503.7,570580.56,71782.8,15,5.49,divorced,1,own_other,5,0,0,13826.89,0
138,Applicant_1,2023-05-15,39,48053.38,self-employed,700,0.23,476367.41,769389.69,120647.74,15,3.75,divorced,4,own_other,4,1,0,27434.2,1
139,Applicant_1,2023-05-15,35,44297.17,retired,717,0.22,473723.14,626904.09,145282.88,25,5.53,divorced,0,rent,2,0,0,17213.07,1
140,Applicant_1,2023-05-16,61,47328.09,self-employed,714,0.45,343008.49,622068.95,114036.04,15,4.49,divorced,4,own_other,20,1,1,17319.93,0
141,Applicant_1,2023-05-16,50,32290.48,self-employed,631,0.27,254094.86,444892.37,58554.99,30,4.45,single,2,family,4,1,1,8541.06,0
142,Applicant_1,2023-05-17,47,121508.73,self-employed,726,0.26,108844.77,162878.81,34584.1,25,3.73,single,2,own_other,7,0,0,37605.62,1
143,Applicant_1,2023-05-18,43,37887.61,self-employed,682,0.32,438873.73,673455.16,197010.67,20,5.44,divorced,2,rent,24,0,0,9798.77,1
144,Applicant_1,2023-05-18,57,14878.64,self-employed,698,0.21,274441.87,397071.38,41547.67,30,4.52,single,1,family,11,0,0,16853.09,0
145,Applicant_1,2023-05-19,56,54423.12,retired,742,0.37,447052.76,770454.32,149558.57,15,5.54,married,1,own_other,23,1,1,26078.75,0
146,Applicant_1,2023-05-19,50,42230.25,employed,650,0.26,306626.74,415701.3,87565.23,15,4.16,married,4,own_other,26,0,0,14842.89,0
147,Applicant_1,2023-05-21,31,74809.44,self-employed,670,0.34,217939.25,433574.91,91729.87,25,5.26,single,4,family,12,0,0,30498.51,0
148,Applicant_1,2023-05-21,33,65380.43,retired,599,0.29,199868.32,315591.14,60403.42,20,3.98,divorced,2,rent,12,1,1,23820.54,0
149,Applicant_1,2023-05-22,57,38737.67,retired,633,0.33,270430.99,446302.93,87019.48,15,4.11,divorced,0,own_other,18,1,0,14911.72,0
150,Applicant_1,2023-05-22,41,105286.91,retired,844,0.18,402306.8,732572.36,157889.03,15,4.75,single,4,family,23,1,0,28189.46,1
151,Applicant_1,2023-05-23,40,69671.93,employed,751,0.29,307656.62,541603.86,74826.29,30,3.94,single,3,family,6,1,1,25108.46,1
152,Applicant_1,2023-05-24,28,148599.46,retired,658,0.2,112137.12,153165.1,25273.76,30,4.58,married,1,own_other,29,1,1,53700.06,0
153,Applicant_1,2023-05-26,41,50097.88,retired,688,0.3,267881.05,526619.29,82047.96,25,3.67,married,2,family,6,1,1,20568.24,0
154,Applicant_1,2023-05-26,60,54613.26,retired,764,0.36,173055.89,224539.9,52839.73,30,5.69,married,2,rent,9,0,0,19450.82,1
155,Applicant_1,2023-05-27,30,110315.72,self-employed,593,0.15,465804.33,803408.9,200424.57,20,3.61,divorced,2,family,22,1,0,32191.0,0
156,Applicant_1,2023-05-27,62,29571.75,employed,634,0.37,159106.12,276187.09,56952.07,20,3.16,married,2,family,15,0,0,20966.07,1
157,Applicant_1,2023-05-28,33,64318.83,employed,714,0.42,484033.45,959513.33,126260.65,30,4.43,single,2,own_other,9,0,0,29112.79,1
158,Applicant_1,2023-05-28,30,73877.4,retired,652,0.3,308360.01,502047.66,122812.67,15,5.74,single,3,rent,29,0,0,19487.82,1
159,Applicant_1,2023-05-31,50,67202.92,self-employed,685,0.42,133840.23,240805.69,66091.08,25,5.63,single,2,family,19,0,0,25092.18,1
160,Applicant_1,2023-06-02,46,92503.8,self-employed,760,0.22,254457.09,435897.69,89299.62,20,5.55,married,2,rent,25,0,0,29810.45,1
161,Applicant_1,2023-06-02,54,98967.92,retired,739,0.17,165769.2,223615.89,55305.48,25,4.7,single,1,family,27,1,1,35719.64,1
162,Applicant_1,2023-06-03,30,42829.41,self-employed,682,0.27,351165.13,473309.13,60641.49,25,5.81,single,2,own_other,7,1,1,16760.95,1
163,Applicant_1,2023-06-03,44,65069.26,retired,651,0.5,375297.14,453790.0,104706.0,20,3.19,single,3,own_other,5,1,1,16342.41,0
164,Applicant_1,2023-06-05,65,56346.57,self-employed,850,0.42,215394.76,296529.52,86430.08,30,3.46,divorced,4,own_other,13,1,0,7349.29,1
165,Applicant_1,2023-06-05,63,40249.33,employed,815,0.27,286478.0,464821.58,80115.24,15,3.19,divorced,4,rent,18,0,0,13046.28,1
166,Applicant_1,2023-06-06,58,151294.37,self-employed,850,0.26,102308.01,139580.99,30237.36,15,5.7,married,0,own_other,4,1,1,46016.0,1
167,Applicant_1,2023-06-06,60,117403.62,self-employed,808,0.2,352745.47,510258.9,53247.6,25,5.45,divorced,1,family,2,0,0,32737.24,1
168,Applicant_1,2023-06-09,29,42632.79,retired,722,0.23,497355.65,968682.8,110239.81,30,3.1,married,1,rent,24,1,1,18422.31,1
169,Applicant_1,2023-06-09,49,48430.85,self-employed,666,0.28,441329.13,849741.22,148814.42,20,4.96,married,0,rent,17,1,0,15153.28,1
170,Applicant_1,2023-06-10,39,91328.77,employed,706,0.21,390280.74,773845.74,149043.29,30,4.6,single,1,own_other,11,0,0,39755.55,1
171,Applicant_1,2023-06-10,32,50938.15,employed,706,0.43,414265.18,636059.65,161057.1,15,3.72,single,0,family,1,1,0,10913.7,0
172,Applicant_1,2023-06-11,27,36505.14,self-employed,626,0.22,247533.27,403926.72,101335.98,15,3.42,married,1,family,18,1,1,16188.32,0
173,Applicant_1,2023-06-11,34,53503.22,retired,718,0.47,284562.97,435622.71,67534.93,20,4.88,married,4,own_other,1,1,1,24440.82,1
174,Applicant_1,2023-06-12,45,126815.15,retired,758,0.29,237346.09,313148.27,54892.4,30,3.72,single,2,family,4,1,0,38138.76,1
175,Applicant_1,2023-06-13,51,58401.43,retired,659,0.28,288496.32,435841.55,65811.69,25,4.94,married,2,rent,17,0,0,15520.5,0
176,Applicant_1,2023-06-14,49,64383.55,retired,726,0.49,322236.25,396878.43,45465.15,20,4.44,married,2,rent,6,0,0,24040.09,1
177,Applicant_1,2023-06-16,32,72207.02,retired,618,0.34,499807.4,791263.44,117517.37,20,4.19,single,4,own_other,24,1,1,18101.3,0
178,Applicant_1,2023-06-19,47,30804.84,self-employed,758,0.38,167702.73,270043.87,53861.72,15,5.41,divorced,3,own_other,29,0,0,12639.57,1
179,Applicant_1,2023-06-20,51,40196.06,employed,693,0.22,303136.13,417424.29,53924.77,25,4.66,divorced,4,family,13,1,0,22967.83,0
180,Applicant_1,2023-06-21,39,44478.79,self-employed,675,0.23,306405.28,427920.72,89918.34,25,3.77,married,3,own_other,5,1,0,28625.11,0
181,Applicant_1,2023-06-22,59,113807.82,self-employed,829,0.24,132821.5,253887.18,75674.81,15,4.57,single,0,rent,13,0,0,32960.27,1
182,Applicant_1,2023-06-22,39,60214.85,employed,693,0.41,368226.3,444564.47,89422.62,25,3.18,divorced,4,own_other,21,1,0,25715.23,0
183,Applicant_1,2023-06-23,60,64374.23,self-employed,729,0.21,55332.94,89834.91,13919.75,25,3.05,divorced,3,rent,3,0,0,16619.86,1
184,Applicant_1,2023-06-24,40,220353.58,employed,806,0.25,328901.38,461098.21,78796.25,30,3.24,married,3,family,7,0,0,52263.41,1
