unique_id,ds,y,temperature,holiday_flag,day_of_week,month,is_weekend,marketing_campaign,economic_indicator,interest_rate,local_event
Branch_1,2015-01-27,124,43.8,0,1,1,0,0,33.86,5.66,0
Branch_1,2015-01-28,217,29.1,0,2,1,0,1,45.18,3.88,0
Branch_1,2015-01-29,134,25.6,0,3,1,0,1,51.29,2.87,0
Branch_1,2015-01-30,179,34.7,0,4,1,0,0,65.63,2.37,0
Branch_1,2015-01-31,190,28.2,0,5,1,1,1,56.19,3.13,0
Branch_1,2015-02-01,60,28.8,1,6,2,1,0,60.65,5.33,0
Branch_1,2015-02-02,108,32.9,0,0,2,0,0,33.76,5.77,0
Branch_1,2015-02-03,150,32.4,0,1,2,0,1,37.69,2.04,0
Branch_1,2015-02-04,136,28.6,0,2,2,0,0,25.68,4.37,0
Branch_1,2015-02-05,159,25.7,0,3,2,0,0,44.35,5.4,0
Branch_1,2015-02-06,231,33.3,0,4,2,0,0,49.53,2.99,0
Branch_1,2015-02-07,133,36.6,0,5,2,1,0,34.99,3.93,0
Branch_1,2015-02-08,179,33.0,0,6,2,1,1,46.21,5.79,0
Branch_1,2015-02-09,163,31.0,0,0,2,0,0,49.5,5.82,0
Branch_1,2015-02-10,137,28.7,0,1,2,0,0,58.79,3.05,0
Branch_1,2015-02-11,187,27.2,0,2,2,0,1,43.43,2.43,0
Branch_1,2015-02-12,206,30.1,0,3,2,0,0,41.87,2.17,0
Branch_1,2015-02-13,247,30.0,0,4,2,0,1,51.2,2.2,0
Branch_1,2015-02-14,174,30.5,0,5,2,1,0,52.3,3.6,0
Branch_1,2015-02-15,169,25.0,0,6,2,1,0,31.56,2.35,0
Branch_1,2015-02-16,153,21.1,0,0,2,0,0,54.18,5.6,0
Branch_1,2015-02-17,79,34.6,0,1,2,0,1,51.68,2.38,0
Branch_1,2015-02-18,154,42.6,0,2,2,0,0,43.86,5.17,0
Branch_1,2015-02-19,188,37.0,0,3,2,0,0,65.2,3.13,0
Branch_1,2015-02-20,268,21.8,0,4,2,0,1,64.32,5.41,0
Branch_1,2015-02-21,140,41.2,0,5,2,1,0,33.87,4.69,0
Branch_1,2015-02-22,81,39.6,1,6,2,1,0,55.33,5.04,0
Branch_1,2015-02-23,153,37.9,0,0,2,0,0,52.87,4.65,0
Branch_1,2015-02-24,168,28.4,0,1,2,0,0,59.8,2.71,0
Branch_1,2015-02-25,85,28.7,1,2,2,0,0,36.13,5.3,0
Branch_1,2015-02-26,174,40.0,0,3,2,0,0,31.45,3.69,0
Branch_1,2015-02-27,259,25.0,0,4,2,0,0,49.33,5.08,0
Branch_1,2015-02-28,82,26.2,1,5,2,1,0,47.63,4.06,0
Branch_1,2015-03-01,158,37.4,0,6,3,1,0,56.59,4.45,0
Branch_1,2015-03-02,202,33.0,0,0,3,0,0,46.42,3.79,1
Branch_1,2015-03-03,78,33.2,1,1,3,0,1,56.5,4.74,0
Branch_1,2015-03-04,145,32.9,0,2,3,0,0,40.88,4.42,0
Branch_1,2015-03-05,216,36.8,0,3,3,0,1,56.92,5.91,0
Branch_1,2015-03-06,212,33.4,0,4,3,0,0,62.3,5.17,0
Branch_1,2015-03-07,163,32.3,0,5,3,1,0,56.62,3.47,0
Branch_1,2015-03-08,154,31.6,0,6,3,1,0,53.72,4.39,0
Branch_1,2015-03-09,82,29.8,1,0,3,0,1,62.63,2.96,0
Branch_1,2015-03-10,136,37.4,0,1,3,0,0,56.25,4.78,0
Branch_1,2015-03-11,182,28.4,0,2,3,0,1,38.02,3.66,0
Branch_1,2015-03-12,195,26.1,0,3,3,0,0,54.0,2.8,0
Branch_1,2015-03-13,256,32.9,0,4,3,0,1,60.18,4.97,0
Branch_1,2015-03-14,262,34.1,0,5,3,1,0,52.58,3.92,1
Branch_1,2015-03-15,73,27.6,1,6,3,1,0,55.41,3.11,0
Branch_1,2015-03-16,160,34.6,0,0,3,0,0,53.56,4.14,0
Branch_1,2015-03-17,95,35.7,1,1,3,0,0,58.96,4.52,0
Branch_1,2015-03-18,158,29.2,0,2,3,0,0,56.73,3.98,0
Branch_1,2015-03-19,191,40.0,0,3,3,0,0,48.37,4.06,0
Branch_1,2015-03-20,258,26.3,0,4,3,0,0,53.69,5.98,0
Branch_1,2015-03-21,135,28.9,0,5,3,1,0,51.64,2.3,0
Branch_1,2015-03-22,183,33.7,0,6,3,1,0,50.91,5.53,0
Branch_1,2015-03-23,80,36.5,1,0,3,0,0,50.89,5.1,0
Branch_1,2015-03-24,176,32.2,0,1,3,0,1,35.48,3.32,0
Branch_1,2015-03-25,193,36.8,0,2,3,0,0,45.18,3.79,0
Branch_1,2015-03-26,222,26.3,0,3,3,0,1,54.09,5.28,0
Branch_1,2015-03-27,244,32.0,0,4,3,0,0,39.19,5.8,0
Branch_1,2015-03-28,170,35.2,0,5,3,1,0,42.87,3.36,0
Branch_1,2015-03-29,220,30.1,0,6,3,1,1,55.17,4.02,1
Branch_1,2015-03-30,165,43.3,0,0,3,0,0,45.29,5.61,0
Branch_1,2015-03-31,113,29.2,0,1,3,0,0,59.91,2.57,0
Branch_1,2015-04-01,144,45.6,0,2,4,0,0,41.26,3.15,0
Branch_1,2015-04-02,243,35.7,0,3,4,0,1,42.28,3.7,0
Branch_1,2015-04-03,300,29.0,0,4,4,0,1,54.15,2.19,0
Branch_1,2015-04-04,80,29.0,1,5,4,1,0,56.4,3.59,0
Branch_1,2015-04-05,161,38.7,0,6,4,1,0,78.68,4.97,0
Branch_1,2015-04-06,209,33.1,0,0,4,0,0,48.56,2.83,0
Branch_1,2015-04-07,167,38.5,0,1,4,0,0,49.08,4.58,0
Branch_1,2015-04-08,140,37.2,0,2,4,0,1,53.9,3.25,0
Branch_1,2015-04-09,169,29.8,0,3,4,0,0,45.54,2.92,0
Branch_1,2015-04-10,187,26.4,0,4,4,0,0,51.74,2.6,0
Branch_1,2015-04-11,184,41.4,0,5,4,1,0,40.75,4.6,0
Branch_1,2015-04-12,140,36.1,0,6,4,1,0,47.82,2.19,0
Branch_1,2015-04-13,162,36.7,0,0,4,0,0,47.99,4.83,0
Branch_1,2015-04-14,94,29.5,1,1,4,0,1,69.82,3.67,0
Branch_1,2015-04-15,143,33.4,0,2,4,0,0,38.53,2.72,0
Branch_1,2015-04-16,153,35.1,0,3,4,0,0,38.2,3.05,0
Branch_1,2015-04-17,202,39.4,0,4,4,0,0,35.98,2.3,0
Branch_1,2015-04-18,184,36.5,0,5,4,1,0,58.66,3.4,0
Branch_1,2015-04-19,119,31.4,0,6,4,1,0,30.75,3.09,0
Branch_1,2015-04-20,162,41.6,0,0,4,0,0,50.93,4.42,0
Branch_1,2015-04-21,48,33.6,1,1,4,0,0,59.61,4.1,0
Branch_1,2015-04-22,216,34.2,0,2,4,0,0,49.6,2.31,0
Branch_1,2015-04-23,162,28.7,0,3,4,0,0,53.63,5.67,0
Branch_1,2015-04-24,219,27.7,0,4,4,0,1,43.15,5.59,0
Branch_1,2015-04-25,203,43.9,0,5,4,1,0,38.4,5.12,0
Branch_1,2015-04-26,208,32.1,0,6,4,1,1,58.34,5.44,1
Branch_1,2015-04-27,223,40.0,0,0,4,0,1,50.73,3.56,0
Branch_1,2015-04-28,140,33.8,0,1,4,0,0,38.61,3.3,0
Branch_1,2015-04-29,126,32.4,0,2,4,0,0,57.66,3.22,0
Branch_1,2015-04-30,188,37.8,0,3,4,0,0,49.66,3.88,0
Branch_1,2015-05-01,92,30.6,1,4,5,0,0,44.15,4.17,0
Branch_1,2015-05-02,186,31.4,0,5,5,1,0,47.91,5.28,0
Branch_1,2015-05-03,179,33.0,0,6,5,1,0,34.68,5.21,0
Branch_1,2015-05-04,151,31.0,0,0,5,0,1,61.64,5.31,0
Branch_1,2015-05-05,73,32.3,1,1,5,0,0,44.12,5.26,0
Branch_1,2015-05-06,129,42.0,0,2,5,0,0,64.34,5.94,0
Branch_1,2015-05-07,249,38.1,0,3,5,0,1,57.58,4.12,0
Branch_1,2015-05-08,246,31.5,0,4,5,0,1,75.0,4.24,0
Branch_1,2015-05-09,162,26.7,0,5,5,1,0,55.55,2.35,0
Branch_1,2015-05-10,154,33.3,0,6,5,1,0,56.87,5.37,0
Branch_1,2015-05-11,175,36.1,0,0,5,0,1,58.76,3.51,0
Branch_1,2015-05-12,94,28.9,0,1,5,0,1,54.47,5.51,0
Branch_1,2015-05-13,165,34.5,0,2,5,0,1,50.31,4.16,0
Branch_1,2015-05-14,204,32.0,0,3,5,0,1,50.0,5.98,0
Branch_1,2015-05-15,233,29.1,0,4,5,0,0,40.28,5.71,0
Branch_1,2015-05-16,158,35.3,0,5,5,1,0,71.8,2.55,0
Branch_1,2015-05-17,108,37.4,0,6,5,1,0,57.73,3.34,0
Branch_1,2015-05-18,132,25.7,0,0,5,0,0,51.89,4.7,0
Branch_1,2015-05-19,155,41.2,0,1,5,0,0,46.88,2.49,0
Branch_1,2015-05-20,191,34.7,0,2,5,0,0,49.86,5.24,0
Branch_1,2015-05-21,111,26.6,1,3,5,0,0,42.92,5.15,0
Branch_1,2015-05-22,235,27.8,0,4,5,0,0,39.54,5.71,0
Branch_1,2015-05-23,161,30.8,0,5,5,1,0,59.46,3.01,0
Branch_1,2015-05-24,175,34.7,0,6,5,1,0,37.9,3.94,0
Branch_1,2015-05-25,124,27.3,0,0,5,0,0,48.76,4.31,0
Branch_1,2015-05-26,101,29.9,0,1,5,0,0,57.87,4.95,0
Branch_1,2015-05-27,107,28.1,0,2,5,0,0,48.39,5.71,0
Branch_1,2015-05-28,178,29.2,0,3,5,0,0,55.19,4.64,0
Branch_1,2015-05-29,224,20.0,0,4,5,0,1,34.81,4.84,0
Branch_1,2015-05-30,146,32.0,0,5,5,1,0,36.98,3.46,0
Branch_1,2015-05-31,152,30.5,0,6,5,1,1,49.11,4.43,0
Branch_1,2015-06-01,127,20.3,0,0,6,0,0,45.54,4.74,0
Branch_1,2015-06-02,61,25.4,1,1,6,0,1,59.0,4.37,0
Branch_1,2015-06-03,62,31.3,0,2,6,0,0,42.25,4.71,0
Branch_1,2015-06-04,174,26.4,0,3,6,0,0,38.72,3.93,0
Branch_1,2015-06-05,210,24.9,0,4,6,0,1,44.3,5.6,0
Branch_1,2015-06-06,178,33.9,0,5,6,1,1,40.84,4.98,0
Branch_1,2015-06-07,164,37.0,0,6,6,1,1,61.31,2.69,0
Branch_1,2015-06-08,205,31.6,0,0,6,0,0,50.73,4.63,0
Branch_1,2015-06-09,136,23.1,0,1,6,0,0,48.1,4.75,0
Branch_1,2015-06-10,142,25.2,0,2,6,0,0,49.4,2.54,0
Branch_1,2015-06-11,150,28.2,0,3,6,0,0,47.93,2.18,0
Branch_1,2015-06-12,161,30.1,0,4,6,0,0,62.62,4.93,0
Branch_1,2015-06-13,149,23.1,0,5,6,1,0,49.34,3.88,0
Branch_1,2015-06-14,130,28.7,0,6,6,1,0,57.76,2.1,0
Branch_1,2015-06-15,126,29.9,0,0,6,0,0,67.46,4.49,0
Branch_1,2015-06-16,96,22.2,0,1,6,0,1,45.1,4.97,0
Branch_1,2015-06-17,50,21.2,1,2,6,0,1,37.68,5.79,0
Branch_1,2015-06-18,145,17.5,0,3,6,0,0,42.76,4.62,0
Branch_1,2015-06-19,205,20.3,0,4,6,0,1,48.58,2.04,0
Branch_1,2015-06-20,186,22.6,0,5,6,1,1,47.58,3.97,0
Branch_1,2015-06-21,124,13.3,0,6,6,1,0,55.05,2.36,0
Branch_1,2015-06-22,114,8.7,0,0,6,0,0,53.16,2.07,0
Branch_1,2015-06-23,40,26.3,0,1,6,0,0,44.03,2.66,0
Branch_1,2015-06-24,96,22.5,0,2,6,0,1,35.1,4.86,0
Branch_1,2015-06-25,121,27.9,0,3,6,0,0,47.31,5.81,0
Branch_1,2015-06-26,195,27.0,0,4,6,0,1,61.87,3.22,0
Branch_1,2015-06-27,60,22.3,1,5,6,1,0,48.64,5.71,0
Branch_1,2015-06-28,112,25.0,0,6,6,1,0,35.79,2.84,0
Branch_1,2015-06-29,107,16.3,0,0,6,0,0,50.4,2.69,0
Branch_1,2015-06-30,113,20.0,0,1,6,0,0,26.66,3.81,0
Branch_1,2015-07-01,67,21.9,0,2,7,0,1,30.21,4.59,0
Branch_1,2015-07-02,86,21.7,0,3,7,0,0,54.52,4.62,0
Branch_1,2015-07-03,183,20.1,0,4,7,0,0,76.9,5.11,0
Branch_1,2015-07-04,131,21.5,0,5,7,1,0,45.95,2.97,0
Branch_1,2015-07-05,98,18.0,0,6,7,1,0,57.01,3.78,0
Branch_1,2015-07-06,58,14.8,0,0,7,0,0,37.07,4.13,1
Branch_1,2015-07-07,102,15.3,0,1,7,0,0,47.4,3.5,0
Branch_1,2015-07-08,116,18.0,0,2,7,0,0,61.72,4.55,0
Branch_1,2015-07-09,121,23.9,0,3,7,0,0,54.07,4.31,0
Branch_1,2015-07-10,168,23.4,0,4,7,0,1,73.47,5.03,0
Branch_1,2015-07-11,95,14.1,0,5,7,1,0,56.62,4.69,0
Branch_1,2015-07-12,57,21.2,0,6,7,1,0,63.48,2.41,0
Branch_1,2015-07-13,115,8.7,0,0,7,0,1,54.88,5.0,0
Branch_1,2015-07-14,96,22.3,0,1,7,0,0,58.41,4.32,0
Branch_1,2015-07-15,79,19.9,0,2,7,0,0,39.6,5.95,0
Branch_1,2015-07-16,128,13.5,0,3,7,0,0,47.67,2.66,0
Branch_1,2015-07-17,207,5.9,0,4,7,0,1,70.22,3.18,0
Branch_1,2015-07-18,56,12.8,1,5,7,1,0,50.6,5.58,0
Branch_1,2015-07-19,88,14.6,0,6,7,1,0,52.67,5.43,0
Branch_1,2015-07-20,139,17.1,0,0,7,0,0,49.56,3.33,0
Branch_1,2015-07-21,72,9.8,0,1,7,0,1,61.69,2.57,0
Branch_1,2015-07-22,27,7.3,1,2,7,0,0,55.36,5.16,0
Branch_1,2015-07-23,101,22.2,0,3,7,0,0,48.43,4.25,0
Branch_1,2015-07-24,91,14.9,0,4,7,0,0,47.59,5.05,0
Branch_1,2015-07-25,126,19.7,0,5,7,1,1,31.96,4.18,0
Branch_1,2015-07-26,112,14.7,0,6,7,1,0,61.33,5.17,0
Branch_1,2015-07-27,20,21.8,0,0,7,0,0,51.46,2.81,0
Branch_1,2015-07-28,65,17.1,0,1,7,0,0,69.17,3.4,0
Branch_1,2015-07-29,134,14.6,0,2,7,0,1,49.98,4.89,0
Branch_1,2015-07-30,63,17.4,1,3,7,0,1,63.79,5.26,0
Branch_1,2015-07-31,160,12.1,0,4,7,0,0,47.58,3.08,0
Branch_1,2015-08-01,99,14.2,0,5,8,1,0,29.69,4.83,0
Branch_1,2015-08-02,109,12.1,0,6,8,1,0,48.64,3.01,0
Branch_1,2015-08-03,46,6.1,0,0,8,0,0,47.34,2.92,0
Branch_1,2015-08-04,80,8.5,0,1,8,0,0,49.75,2.38,0
Branch_1,2015-08-05,33,6.4,0,2,8,0,0,50.97,3.2,0
Branch_1,2015-08-06,114,8.1,0,3,8,0,0,62.54,3.95,0
Branch_1,2015-08-07,124,16.0,0,4,8,0,0,63.06,5.85,0
Branch_1,2015-08-08,92,15.0,0,5,8,1,1,54.64,5.04,0
Branch_1,2015-08-09,69,16.4,0,6,8,1,0,42.78,2.78,0
Branch_1,2015-08-10,68,15.1,0,0,8,0,1,60.96,3.27,0
Branch_1,2015-08-11,20,19.3,0,1,8,0,0,65.43,5.43,0
Branch_1,2015-08-12,68,15.8,0,2,8,0,1,44.58,2.38,0
Branch_1,2015-08-13,119,8.5,0,3,8,0,0,32.17,4.26,0
Branch_1,2015-08-14,134,14.1,0,4,8,0,0,57.42,4.59,0
Branch_1,2015-08-15,84,13.1,0,5,8,1,0,58.25,5.15,0
Branch_1,2015-08-16,45,8.1,0,6,8,1,1,21.54,5.6,0
Branch_1,2015-08-17,27,8.6,0,0,8,0,1,54.91,4.22,1
Branch_1,2015-08-18,32,8.7,0,1,8,0,1,34.41,3.65,0
Branch_1,2015-08-19,20,11.8,1,2,8,0,0,68.95,5.23,0
Branch_1,2015-08-20,90,3.3,0,3,8,0,0,41.97,2.27,0
Branch_1,2015-08-21,49,9.7,1,4,8,0,0,45.41,2.22,0
Branch_1,2015-08-22,81,7.0,0,5,8,1,0,47.27,5.98,0
Branch_1,2015-08-23,35,3.2,0,6,8,1,1,46.06,5.27,0
Branch_1,2015-08-24,28,1.3,0,0,8,0,0,56.74,5.89,0
Branch_1,2015-08-25,37,6.4,0,1,8,0,1,52.56,4.26,0
Branch_1,2015-08-26,54,3.8,0,2,8,0,0,52.53,4.09,0
Branch_1,2015-08-27,72,-0.5,0,3,8,0,0,40.06,2.89,0
Branch_1,2015-08-28,81,3.0,0,4,8,0,0,62.22,4.89,0
Branch_1,2015-08-29,77,18.9,0,5,8,1,0,50.03,5.85,0
Branch_1,2015-08-30,90,5.9,0,6,8,1,0,53.19,2.94,0
Branch_1,2015-08-31,33,7.8,0,0,8,0,0,73.27,3.82,0
Branch_1,2015-09-01,20,6.2,0,1,9,0,0,60.88,3.76,0
Branch_1,2015-09-02,24,13.5,0,2,9,0,1,65.1,3.83,0
Branch_1,2015-09-03,20,0.2,1,3,9,0,0,60.71,3.24,0
Branch_1,2015-09-04,82,7.9,0,4,9,0,0,42.7,3.64,0
Branch_1,2015-09-05,74,10.3,0,5,9,1,0,50.28,3.17,0
Branch_1,2015-09-06,46,11.0,0,6,9,1,0,67.93,5.84,0
Branch_1,2015-09-07,24,7.4,1,0,9,0,0,62.47,5.48,0
Branch_1,2015-09-08,20,6.3,0,1,9,0,0,70.67,4.26,0
Branch_1,2015-09-09,24,7.8,0,2,9,0,1,53.96,3.49,0
Branch_1,2015-09-10,20,8.1,0,3,9,0,0,35.99,4.07,0
Branch_1,2015-09-11,97,8.4,0,4,9,0,1,56.07,2.58,0
Branch_1,2015-09-12,85,8.3,0,5,9,1,0,49.26,2.66,0
Branch_1,2015-09-13,25,12.3,1,6,9,1,0,40.8,2.44,0
Branch_1,2015-09-14,20,2.9,0,0,9,0,0,60.27,5.69,0
Branch_1,2015-09-15,20,12.9,0,1,9,0,0,56.92,2.37,0
Branch_1,2015-09-16,20,0.2,0,2,9,0,0,50.71,2.72,0
Branch_1,2015-09-17,94,13.8,0,3,9,0,0,64.11,3.19,0
Branch_1,2015-09-18,82,6.8,0,4,9,0,0,55.1,4.63,0
Branch_1,2015-09-19,53,0.2,0,5,9,1,0,43.75,3.52,0
Branch_1,2015-09-20,26,9.6,1,6,9,1,0,57.87,3.87,0
Branch_1,2015-09-21,20,0.5,1,0,9,0,0,47.61,5.95,0
Branch_1,2015-09-22,20,-0.9,0,1,9,0,0,40.33,4.46,0
Branch_1,2015-09-23,20,5.2,0,2,9,0,0,54.31,3.96,0
Branch_1,2015-09-24,67,4.5,0,3,9,0,0,44.77,2.97,0
Branch_1,2015-09-25,24,-1.7,0,4,9,0,1,52.65,3.71,0
Branch_1,2015-09-26,81,11.6,0,5,9,1,1,51.99,2.92,0
Branch_1,2015-09-27,38,3.6,0,6,9,1,0,47.34,5.53,0
Branch_1,2015-09-28,20,10.8,1,0,9,0,1,56.24,4.24,0
Branch_1,2015-09-29,49,2.9,0,1,9,0,0,44.66,3.51,0
Branch_1,2015-09-30,32,11.9,1,2,9,0,0,30.16,5.27,0
Branch_1,2015-10-01,69,9.2,0,3,10,0,0,41.3,5.96,0
Branch_1,2015-10-02,104,4.5,0,4,10,0,0,61.53,3.21,0
Branch_1,2015-10-03,125,1.1,0,5,10,1,0,56.63,5.11,0
Branch_1,2015-10-04,72,-4.3,0,6,10,1,0,41.99,2.07,0
Branch_1,2015-10-05,62,-1.3,0,0,10,0,0,46.67,3.83,0
Branch_1,2015-10-06,20,5.7,1,1,10,0,0,45.87,4.2,0
Branch_1,2015-10-07,20,6.8,0,2,10,0,0,64.14,2.69,0
Branch_1,2015-10-08,21,12.6,0,3,10,0,0,49.72,4.15,0
Branch_1,2015-10-09,109,7.7,0,4,10,0,0,45.95,4.32,0
Branch_1,2015-10-10,78,10.8,0,5,10,1,0,46.37,5.39,0
Branch_1,2015-10-11,90,6.5,0,6,10,1,0,59.5,2.65,0
Branch_1,2015-10-12,42,6.2,0,0,10,0,0,47.58,3.46,0
Branch_1,2015-10-13,20,9.6,0,1,10,0,0,47.44,3.63,0
Branch_1,2015-10-14,20,7.8,0,2,10,0,0,43.65,3.64,0
Branch_1,2015-10-15,22,19.8,0,3,10,0,0,46.14,3.41,0
Branch_1,2015-10-16,112,3.0,0,4,10,0,0,52.3,5.31,0
Branch_1,2015-10-17,104,5.8,0,5,10,1,1,55.43,4.19,0
Branch_1,2015-10-18,62,8.5,0,6,10,1,0,49.9,3.22,0
Branch_1,2015-10-19,30,10.0,0,0,10,0,0,60.71,4.55,0
Branch_1,2015-10-20,20,4.7,0,1,10,0,0,50.84,5.62,0
Branch_1,2015-10-21,20,-1.0,0,2,10,0,0,37.12,2.83,0
Branch_1,2015-10-22,51,11.2,0,3,10,0,0,52.06,5.67,0
Branch_1,2015-10-23,121,9.6,0,4,10,0,1,53.47,4.34,0
Branch_1,2015-10-24,75,1.5,0,5,10,1,1,59.31,2.42,0
Branch_1,2015-10-25,42,9.4,0,6,10,1,0,62.22,5.21,0
Branch_1,2015-10-26,54,3.8,0,0,10,0,0,58.55,3.69,0
Branch_1,2015-10-27,55,19.6,0,1,10,0,0,65.28,5.29,0
Branch_1,2015-10-28,53,8.7,0,2,10,0,0,57.28,4.49,0
Branch_1,2015-10-29,62,8.2,0,3,10,0,1,39.23,4.59,0
Branch_1,2015-10-30,95,1.0,0,4,10,0,0,66.0,4.64,0
Branch_1,2015-10-31,74,7.0,0,5,10,1,1,67.14,4.36,1
Branch_1,2015-11-01,44,11.1,0,6,11,1,0,42.81,4.27,0
Branch_1,2015-11-02,40,5.4,0,0,11,0,0,51.0,5.15,0
Branch_1,2015-11-03,20,8.6,0,1,11,0,0,40.28,5.76,0
Branch_1,2015-11-04,57,8.6,0,2,11,0,1,51.85,4.77,0
Branch_1,2015-11-05,45,13.5,0,3,11,0,0,47.12,2.08,0
Branch_1,2015-11-06,91,6.6,0,4,11,0,0,61.12,2.89,0
Branch_1,2015-11-07,87,2.7,0,5,11,1,0,35.35,2.81,0
Branch_1,2015-11-08,56,12.7,0,6,11,1,0,72.66,2.81,0
Branch_1,2015-11-09,27,24.1,0,0,11,0,0,46.03,2.97,0
Branch_1,2015-11-10,20,9.0,0,1,11,0,0,41.73,4.99,0
Branch_1,2015-11-11,37,7.1,0,2,11,0,1,44.72,4.94,0
Branch_1,2015-11-12,115,10.5,0,3,11,0,0,74.41,3.35,0
Branch_1,2015-11-13,143,9.1,0,4,11,0,0,71.93,2.79,0
Branch_1,2015-11-14,37,15.9,1,5,11,1,0,33.88,3.69,0
Branch_1,2015-11-15,66,4.4,0,6,11,1,0,52.7,3.21,0
Branch_1,2015-11-16,96,-3.3,0,0,11,0,0,52.23,3.15,0
Branch_1,2015-11-17,66,17.0,0,1,11,0,1,36.66,4.29,0
Branch_1,2015-11-18,108,10.5,0,2,11,0,1,34.53,4.81,0
Branch_1,2015-11-19,87,7.8,0,3,11,0,0,54.21,3.99,0
Branch_1,2015-11-20,127,16.3,0,4,11,0,1,46.9,3.86,0
Branch_1,2015-11-21,71,11.9,1,5,11,1,0,70.15,4.44,0
Branch_1,2015-11-22,65,17.7,0,6,11,1,0,37.43,5.88,0
Branch_1,2015-11-23,89,9.4,0,0,11,0,0,47.71,5.38,0
Branch_1,2015-11-24,57,15.1,0,1,11,0,0,44.39,3.36,0
Branch_1,2015-11-25,86,5.7,0,2,11,0,0,55.47,5.2,0
Branch_1,2015-11-26,126,10.2,0,3,11,0,1,53.21,5.11,0
Branch_1,2015-11-27,181,19.2,0,4,11,0,1,46.17,4.66,0
Branch_1,2015-11-28,133,11.7,0,5,11,1,1,69.65,5.47,0
Branch_1,2015-11-29,88,13.5,0,6,11,1,0,41.57,2.05,1
Branch_1,2015-11-30,90,17.7,0,0,11,0,0,49.33,5.22,0
Branch_1,2015-12-01,85,9.2,0,1,12,0,1,33.81,2.81,0
Branch_1,2015-12-02,59,11.6,0,2,12,0,0,49.15,2.92,0
Branch_1,2015-12-03,100,18.9,0,3,12,0,0,69.58,4.5,0
Branch_1,2015-12-04,79,11.9,0,4,12,0,0,46.56,5.28,0
Branch_1,2015-12-05,109,21.5,0,5,12,1,0,45.88,3.0,0
Branch_1,2015-12-06,109,10.9,0,6,12,1,1,68.7,2.78,0
Branch_1,2015-12-07,80,9.2,0,0,12,0,0,34.55,4.27,0
Branch_1,2015-12-08,49,14.3,0,1,12,0,1,47.91,2.86,0
Branch_1,2015-12-09,94,19.9,0,2,12,0,0,61.05,5.87,0
Branch_1,2015-12-10,143,14.8,0,3,12,0,0,49.6,5.23,0
Branch_1,2015-12-11,204,5.4,0,4,12,0,0,43.43,4.98,0
Branch_1,2015-12-12,107,19.2,0,5,12,1,0,61.38,2.67,0
Branch_1,2015-12-13,85,24.3,0,6,12,1,0,71.74,3.76,0
Branch_1,2015-12-14,48,17.4,0,0,12,0,0,59.56,4.75,0
Branch_1,2015-12-15,40,15.3,0,1,12,0,0,46.19,4.39,0
Branch_1,2015-12-16,83,11.5,0,2,12,0,0,53.97,3.76,0
Branch_1,2015-12-17,55,16.2,1,3,12,0,0,65.38,4.84,0
Branch_1,2015-12-18,123,19.5,0,4,12,0,0,53.15,5.66,0
Branch_1,2015-12-19,107,25.7,0,5,12,1,0,46.87,3.7,0
Branch_1,2015-12-20,146,12.2,0,6,12,1,0,50.23,2.11,0
Branch_1,2015-12-21,60,14.6,1,0,12,0,0,67.73,4.03,0
