client_id,age,income,credit_score,debt_to_income_ratio,num_bank_products,tenure_years,digital_usage_score,satisfaction_score,previous_insurance,family_size,employment_stability,region,marketing_exposure,complaints,life_events,buy_insurance
67,61,46269,728,0.39,1,9,7,4,0,1,Unstable,Rural,2,1,Marriage,1
68,30,39114,629,0.52,1,7,6,3,0,5,Unstable,Rural,1,2,Child Birth,0
69,31,20000,643,0.58,2,7,1,5,0,3,Stable,Rural,4,2,Home Purchase,0
70,56,63064,850,0.53,1,19,5,7,0,3,Stable,Rural,2,1,None,0
71,56,71302,794,0.44,1,1,6,7,1,2,Stable,Rural,3,2,Child Birth,0
72,49,26909,680,0.2,2,1,9,2,1,2,Unstable,Rural,3,2,Marriage,0
73,57,95509,642,0.14,1,1,6,7,1,3,Stable,Rural,4,1,Child Birth,0
74,31,39441,556,0.12,1,11,8,7,0,1,Unstable,Suburban,3,2,Marriage,1
75,36,20000,812,0.41,1,18,2,2,0,2,Stable,Suburban,0,1,Marriage,0
76,40,97370,628,0.12,3,13,1,9,1,1,Stable,Urban,1,2,None,1
77,40,20000,805,0.47,4,15,1,8,0,2,Stable,Urban,0,1,Home Purchase,1
78,67,84104,782,0.46,3,17,7,2,0,1,Stable,Rural,2,0,Home Purchase,1
79,60,78027,835,0.14,4,10,8,6,0,4,Stable,Suburban,0,0,None,0
80,37,67988,775,0.55,2,8,8,8,0,5,Stable,Rural,1,2,Child Birth,0
81,31,46930,679,0.36,2,9,3,9,0,3,Stable,Suburban,4,0,None,1
82,60,72569,701,0.55,4,19,5,1,0,4,Unstable,Suburban,4,1,Home Purchase,0
83,33,86212,702,0.55,4,18,7,7,0,3,Stable,Rural,4,0,None,1
84,56,35354,673,0.2,5,8,9,5,1,1,Stable,Suburban,4,1,Child Birth,0
85,35,84409,537,0.29,4,5,5,9,0,2,Unstable,Urban,2,1,Marriage,1
86,32,83271,484,0.17,4,14,4,9,0,2,Unstable,Rural,3,0,Child Birth,0
87,57,67326,775,0.49,2,13,4,3,1,2,Stable,Suburban,4,1,Marriage,0
88,47,46550,681,0.35,2,1,6,7,0,5,Stable,Rural,0,1,Child Birth,1
89,49,83386,796,0.56,1,11,9,3,0,5,Unstable,Suburban,0,0,Marriage,0
90,32,72707,662,0.2,1,12,1,4,0,3,Unstable,Rural,3,1,Child Birth,0
91,69,34601,699,0.44,2,6,1,8,0,2,Unstable,Urban,1,2,None,0
92,46,50816,792,0.59,1,12,1,1,0,4,Unstable,Suburban,1,2,None,0
93,28,80476,850,0.43,3,3,4,4,0,3,Unstable,Urban,4,1,None,1
94,64,62864,668,0.13,3,8,4,4,1,5,Unstable,Suburban,0,2,Marriage,1
95,27,87149,599,0.39,1,2,8,3,0,5,Unstable,Rural,3,0,Marriage,0
96,53,51458,821,0.19,1,6,5,2,1,2,Stable,Suburban,1,0,Home Purchase,1
97,65,35002,671,0.12,4,3,4,8,1,5,Stable,Suburban,4,1,Marriage,1
98,53,114840,651,0.27,4,7,8,6,0,1,Unstable,Suburban,4,1,Marriage,0
99,58,20000,660,0.23,3,16,7,2,0,5,Unstable,Rural,3,2,Home Purchase,0
100,58,47504,628,0.49,3,17,6,8,0,2,Unstable,Suburban,0,2,Home Purchase,1
101,52,66993,777,0.29,4,12,2,8,0,3,Stable,Urban,1,1,Child Birth,1
102,37,84652,566,0.47,4,15,5,7,0,5,Stable,Urban,1,2,Home Purchase,0
103,39,76161,710,0.11,4,14,2,8,0,4,Unstable,Suburban,0,0,Home Purchase,1
104,47,117781,724,0.11,1,1,6,9,0,4,Stable,Rural,0,2,Marriage,1
105,68,57060,640,0.11,2,12,9,3,0,1,Unstable,Suburban,4,0,None,0
106,50,38175,850,0.21,3,14,9,2,0,3,Stable,Rural,0,0,Marriage,0
107,28,54507,789,0.29,5,16,6,7,0,1,Stable,Urban,2,0,Marriage,1
108,50,52000,654,0.4,4,15,4,2,0,1,Stable,Suburban,3,1,Child Birth,0
109,64,58292,689,0.59,1,8,9,3,0,2,Unstable,Suburban,3,2,Marriage,0
110,33,35437,789,0.28,3,1,5,6,1,2,Stable,Suburban,0,1,Home Purchase,1
111,29,79601,708,0.13,4,13,8,9,1,2,Stable,Urban,3,1,Home Purchase,0
112,56,69270,840,0.2,1,3,9,9,1,4,Stable,Urban,4,1,Marriage,1
113,44,28402,756,0.55,3,12,5,2,1,5,Unstable,Urban,1,0,Home Purchase,0
114,35,84200,725,0.45,3,7,6,1,0,3,Stable,Rural,1,0,None,0
115,39,39712,724,0.5,5,8,4,6,0,2,Unstable,Suburban,3,0,Home Purchase,1
116,56,30429,850,0.16,5,17,1,7,1,3,Unstable,Rural,0,0,Home Purchase,1
117,52,62183,598,0.17,3,18,1,8,0,1,Unstable,Suburban,3,2,None,0
118,46,20000,590,0.16,1,10,5,4,1,5,Stable,Rural,2,0,None,1
119,65,74737,675,0.53,4,15,3,7,0,4,Stable,Rural,4,2,None,1
120,41,20000,840,0.2,4,10,7,9,1,3,Stable,Urban,3,1,Child Birth,1
121,50,34265,453,0.42,3,9,4,1,0,5,Unstable,Rural,4,1,Home Purchase,0
122,68,99378,509,0.36,4,1,4,3,0,3,Unstable,Rural,0,1,Home Purchase,1
123,31,42833,660,0.37,5,5,4,5,0,1,Unstable,Rural,0,2,Home Purchase,0
124,66,47210,850,0.2,4,15,6,7,0,2,Stable,Rural,4,0,None,0
125,50,91841,702,0.42,2,14,9,5,1,1,Unstable,Rural,3,1,Child Birth,0
126,49,40178,583,0.12,5,11,9,1,0,3,Stable,Suburban,0,2,Home Purchase,0
127,34,79085,782,0.6,5,17,5,1,0,4,Unstable,Rural,2,2,Child Birth,1
128,69,89354,850,0.11,3,14,8,1,1,3,Unstable,Rural,2,0,Marriage,1
129,43,71963,636,0.13,3,6,4,8,0,4,Unstable,Suburban,4,0,Child Birth,1
130,35,23877,745,0.26,4,4,8,7,1,4,Stable,Urban,2,2,Marriage,0
131,37,44900,715,0.52,4,13,9,3,1,3,Stable,Urban,4,1,Home Purchase,0
132,32,127840,757,0.23,3,17,8,4,0,3,Stable,Urban,3,1,None,0
133,64,47736,654,0.34,1,12,8,8,1,4,Unstable,Suburban,1,2,Child Birth,0
134,28,134658,762,0.11,4,12,9,7,0,3,Unstable,Rural,0,1,Home Purchase,1
135,55,102724,783,0.14,1,4,8,7,0,5,Stable,Rural,0,2,Child Birth,0
136,52,72976,771,0.4,5,2,4,6,0,4,Stable,Suburban,3,0,Marriage,1
137,35,67430,537,0.2,2,6,5,9,1,4,Unstable,Suburban,3,0,Home Purchase,0
138,67,48379,556,0.45,1,6,6,6,0,3,Stable,Suburban,3,1,Marriage,1
139,25,57777,631,0.49,4,1,5,1,1,1,Stable,Urban,0,2,Home Purchase,1
140,62,42781,726,0.53,3,11,9,5,0,5,Stable,Urban,4,2,Child Birth,0
141,48,58409,755,0.17,3,12,2,8,0,3,Unstable,Urban,2,1,None,0
142,55,25945,594,0.33,2,4,6,6,0,2,Stable,Suburban,0,0,None,0
143,65,24605,732,0.57,2,16,2,5,0,5,Unstable,Urban,1,2,Marriage,0
144,50,92525,794,0.49,5,19,8,9,1,2,Unstable,Suburban,4,2,None,1
145,29,20000,766,0.16,1,11,8,7,0,5,Unstable,Urban,3,1,Marriage,0
146,44,82153,654,0.35,2,11,5,7,1,4,Stable,Rural,1,0,Marriage,1
147,65,20000,663,0.56,5,13,8,1,0,5,Stable,Suburban,2,0,Home Purchase,0
148,35,75740,570,0.32,5,13,5,2,0,3,Stable,Rural,2,2,Marriage,0
149,57,54810,850,0.52,5,8,4,5,0,2,Unstable,Suburban,0,0,None,1
150,62,93032,747,0.35,4,11,9,3,0,1,Unstable,Urban,4,1,None,1
151,51,51700,538,0.15,2,16,8,8,1,2,Unstable,Rural,1,1,None,0
152,58,20000,822,0.17,3,13,4,4,0,4,Stable,Urban,3,0,Marriage,1
153,39,55299,765,0.12,5,3,2,7,0,4,Unstable,Suburban,3,1,None,0
154,56,63991,819,0.2,3,11,2,5,1,1,Unstable,Rural,1,0,Home Purchase,0
155,45,56700,644,0.55,4,8,2,6,0,5,Stable,Suburban,0,0,None,0
156,29,74377,658,0.43,1,10,8,7,1,5,Stable,Urban,1,2,Child Birth,0
157,30,45890,618,0.47,4,18,6,8,1,4,Unstable,Suburban,4,2,Home Purchase,0
158,62,28414,850,0.41,4,17,1,3,0,1,Stable,Urban,3,1,Home Purchase,0
159,46,35008,649,0.29,2,7,4,3,0,4,Stable,Suburban,3,2,Home Purchase,0
160,42,47105,604,0.21,5,18,3,2,0,2,Unstable,Suburban,1,2,Marriage,1
161,38,46891,635,0.56,4,10,7,6,0,5,Unstable,Suburban,0,2,Child Birth,0
162,34,120153,667,0.36,5,13,5,2,0,2,Unstable,Urban,0,0,Marriage,1
163,37,91377,850,0.34,3,7,1,1,0,2,Stable,Suburban,2,2,Home Purchase,0
164,55,77167,727,0.6,1,7,6,1,1,3,Stable,Suburban,2,2,Child Birth,0
165,54,71150,823,0.29,1,11,4,9,1,5,Unstable,Rural,1,1,Home Purchase,1
166,27,67494,728,0.53,3,10,6,1,0,4,Stable,Suburban,1,0,Marriage,1
167,54,67625,681,0.53,2,12,7,7,0,4,Unstable,Rural,3,0,Home Purchase,1
168,30,64082,595,0.22,3,13,9,5,0,2,Stable,Suburban,3,1,None,0
169,53,61002,850,0.15,3,12,1,6,0,1,Unstable,Rural,1,2,Child Birth,0
170,32,20000,799,0.59,2,12,6,9,0,3,Unstable,Suburban,2,1,Marriage,0
171,68,50771,808,0.31,2,6,8,3,0,3,Stable,Urban,0,1,Home Purchase,1
172,69,53992,792,0.1,4,3,4,6,1,2,Unstable,Suburban,3,2,Home Purchase,0
173,67,41275,628,0.35,5,8,9,7,0,3,Stable,Urban,3,2,Marriage,0
174,68,46097,726,0.41,1,17,4,2,0,3,Unstable,Rural,2,1,Home Purchase,0
175,57,67518,808,0.49,2,13,4,6,1,2,Unstable,Rural,2,1,None,1
176,41,79189,794,0.57,2,8,9,6,0,4,Unstable,Suburban,0,0,Marriage,1
177,35,67480,715,0.56,4,5,4,5,0,2,Unstable,Rural,0,2,Marriage,0
178,37,78561,850,0.57,4,4,9,7,0,2,Stable,Suburban,3,1,Home Purchase,0
179,35,79002,753,0.12,5,16,1,9,0,5,Stable,Rural,1,1,Marriage,1
180,55,52507,832,0.46,2,18,8,7,0,4,Stable,Rural,4,1,Marriage,0
181,52,73132,720,0.21,2,4,2,2,0,2,Unstable,Urban,2,0,None,1
182,68,20000,662,0.19,4,11,8,4,0,5,Stable,Suburban,1,2,None,0
183,30,50391,796,0.5,3,8,5,1,0,3,Stable,Suburban,4,0,Marriage,0
184,65,47453,773,0.31,5,1,1,2,1,1,Unstable,Suburban,4,2,Marriage,1
185,40,98283,734,0.56,2,13,1,9,0,4,Unstable,Suburban,3,0,None,1
186,28,68427,615,0.12,1,4,6,7,0,5,Stable,Suburban,2,1,Home Purchase,0
187,59,26638,801,0.5,1,4,1,8,1,4,Unstable,Suburban,4,1,Marriage,0
188,50,74864,620,0.17,4,4,2,8,0,5,Unstable,Suburban,1,2,None,0
189,36,82744,777,0.19,1,13,3,2,0,3,Stable,Urban,2,1,None,1
190,35,57758,590,0.34,4,19,2,5,0,3,Stable,Urban,4,2,Home Purchase,0
191,61,77256,615,0.3,3,16,9,1,0,1,Unstable,Rural,4,1,Child Birth,0
192,49,20000,729,0.34,4,14,6,9,0,3,Stable,Suburban,1,1,Marriage,1
193,42,20000,757,0.57,2,10,9,5,0,3,Stable,Urban,3,0,None,1
194,43,30533,721,0.43,1,5,5,1,1,1,Stable,Suburban,0,2,Home Purchase,0
195,47,63725,647,0.25,2,15,4,7,0,4,Unstable,Rural,3,0,Child Birth,0
196,62,98304,811,0.19,1,6,2,9,0,3,Stable,Suburban,3,2,None,1
197,42,31839,713,0.31,1,19,4,1,0,4,Stable,Suburban,0,1,Marriage,0
198,50,38658,719,0.33,4,14,8,1,0,1,Unstable,Suburban,2,0,Home Purchase,0
199,30,62215,684,0.4,5,11,2,1,0,2,Stable,Suburban,4,0,Marriage,0
200,28,47692,627,0.23,1,3,8,7,0,3,Unstable,Urban,2,1,Child Birth,1
201,68,46270,812,0.48,1,2,2,3,0,4,Unstable,Urban,0,2,Marriage,0
202,53,49463,635,0.15,5,6,1,9,0,5,Stable,Suburban,0,2,Home Purchase,1
203,58,92869,850,0.38,2,8,4,9,1,5,Stable,Suburban,3,2,Child Birth,0
204,41,87903,617,0.41,1,1,7,7,1,2,Unstable,Suburban,2,2,Home Purchase,0
205,67,60586,732,0.2,4,14,2,3,1,3,Unstable,Suburban,4,0,Child Birth,1
206,67,101362,706,0.51,5,16,3,8,1,3,Stable,Rural,1,2,Child Birth,0
207,40,72725,688,0.41,5,17,6,6,0,3,Unstable,Suburban,3,0,Marriage,0
208,26,88847,768,0.42,1,8,2,4,0,5,Stable,Urban,2,2,None,0
209,58,38486,778,0.35,2,17,9,8,0,2,Stable,Suburban,3,1,Home Purchase,0
210,32,43658,753,0.55,2,13,6,3,0,5,Stable,Suburban,0,0,Home Purchase,0
211,37,43390,593,0.45,3,19,6,1,1,3,Stable,Rural,1,0,None,0
212,66,57831,582,0.29,3,9,8,4,0,2,Unstable,Suburban,0,2,Home Purchase,1
213,32,61497,576,0.22,4,3,1,9,0,5,Stable,Rural,3,0,Marriage,0
214,54,68104,675,0.14,1,18,3,7,0,3,Stable,Suburban,4,0,Child Birth,1
215,56,109327,850,0.18,2,1,2,1,0,2,Stable,Urban,2,0,Home Purchase,0
216,60,78031,695,0.6,3,13,1,1,0,2,Stable,Rural,2,0,Home Purchase,1
217,54,47130,850,0.3,1,13,6,1,0,1,Stable,Suburban,4,2,Home Purchase,0
218,25,59918,696,0.55,1,12,4,6,0,2,Stable,Suburban,2,1,Marriage,1
219,67,97623,715,0.19,2,1,6,9,1,1,Unstable,Urban,1,1,Home Purchase,0
220,63,79546,759,0.31,1,10,8,3,0,3,Unstable,Urban,4,2,Marriage,0
221,41,97294,670,0.58,5,19,7,3,0,1,Stable,Urban,3,0,Child Birth,1
222,44,47932,722,0.15,3,7,3,7,0,3,Stable,Suburban,3,0,Child Birth,0
223,48,42208,529,0.4,4,14,3,6,0,3,Unstable,Urban,1,2,Marriage,0
224,46,42573,611,0.56,3,6,6,9,0,4,Stable,Urban,2,2,Child Birth,0
225,53,49950,531,0.57,1,6,1,3,1,1,Stable,Rural,0,2,Home Purchase,0
226,46,33417,772,0.52,5,9,3,7,1,2,Stable,Rural,3,0,Marriage,0
227,68,67379,563,0.53,3,16,8,7,1,2,Unstable,Suburban,4,2,None,0
228,33,67809,841,0.43,2,5,3,9,1,3,Stable,Urban,2,1,None,1
229,61,93469,735,0.21,5,15,1,6,1,1,Stable,Urban,4,2,Child Birth,0
230,34,20000,795,0.47,3,1,9,9,0,5,Unstable,Suburban,2,2,Child Birth,1
231,60,36396,635,0.59,1,4,2,6,1,2,Stable,Urban,3,2,None,1
232,61,80139,587,0.36,2,10,7,2,1,5,Unstable,Urban,4,0,Home Purchase,0
233,52,64586,665,0.23,1,6,8,6,0,1,Unstable,Rural,4,0,Child Birth,1
234,52,61120,806,0.39,1,2,3,5,1,2,Stable,Urban,1,0,None,0
235,66,91596,850,0.45,2,10,7,6,1,5,Unstable,Urban,2,1,Child Birth,0
236,67,34751,750,0.2,5,19,4,9,0,2,Stable,Suburban,3,2,None,0
237,45,41781,568,0.46,3,9,2,6,0,4,Unstable,Urban,1,2,None,0
238,48,38837,602,0.39,5,11,4,5,0,4,Stable,Suburban,1,1,Child Birth,0
239,66,20000,551,0.41,2,4,8,5,0,3,Stable,Suburban,0,1,Marriage,0
240,64,63320,687,0.25,3,10,2,3,0,1,Unstable,Suburban,3,2,None,0
241,26,46928,672,0.18,2,6,6,5,0,2,Stable,Urban,0,1,None,0
242,32,41677,686,0.41,4,3,3,5,0,5,Unstable,Urban,2,0,Home Purchase,0
243,51,37164,592,0.39,4,13,3,3,0,2,Stable,Suburban,1,0,Child Birth,0
244,46,59556,582,0.27,5,19,6,7,0,2,Unstable,Rural,3,2,Child Birth,0
245,61,40036,709,0.25,2,3,3,8,0,5,Stable,Urban,4,2,Marriage,1
246,51,65539,748,0.27,3,18,2,7,0,5,Unstable,Rural,1,0,Home Purchase,1
247,53,71479,581,0.34,5,12,2,2,1,4,Stable,Suburban,3,2,None,0
248,27,52635,747,0.59,4,12,3,7,0,3,Stable,Rural,1,1,None,1
249,68,50938,794,0.48,4,12,2,1,0,5,Unstable,Suburban,2,2,Home Purchase,0
250,37,64637,466,0.53,4,7,6,3,0,2,Stable,Urban,3,1,Home Purchase,1
251,69,59278,850,0.35,5,9,4,4,0,4,Stable,Suburban,2,0,Marriage,0
252,34,93253,770,0.36,3,12,1,6,1,1,Unstable,Rural,3,1,None,1
253,60,67956,795,0.2,4,19,3,9,0,4,Stable,Rural,2,0,Home Purchase,0
254,33,87389,597,0.46,5,4,3,9,0,4,Stable,Urban,0,1,None,0
255,51,75262,778,0.31,5,10,4,6,1,4,Stable,Suburban,3,1,Child Birth,0
256,58,27039,790,0.47,1,19,6,9,0,2,Stable,Suburban,2,2,Home Purchase,0
257,25,46043,634,0.3,1,17,1,6,0,5,Stable,Urban,3,1,Home Purchase,0
258,56,58797,777,0.15,3,18,2,7,0,3,Stable,Suburban,4,0,None,0
259,49,81711,686,0.19,4,10,3,6,0,1,Stable,Suburban,4,2,Marriage,0
260,53,108195,638,0.51,1,12,5,3,0,3,Stable,Urban,2,0,Marriage,0
261,31,47896,680,0.23,3,8,7,1,0,2,Unstable,Rural,4,1,Home Purchase,0
262,27,61381,716,0.23,1,19,1,4,0,3,Unstable,Suburban,2,2,Home Purchase,0
263,44,79997,669,0.56,4,1,2,1,0,3,Stable,Suburban,4,2,None,1
264,44,58554,620,0.43,5,4,4,1,0,1,Unstable,Urban,1,0,Marriage,0
265,54,101102,739,0.16,4,6,1,5,0,4,Stable,Suburban,1,2,Child Birth,0
266,59,26305,755,0.17,1,4,1,8,0,5,Stable,Rural,3,2,Home Purchase,0
267,59,76950,714,0.24,4,16,9,1,1,5,Stable,Rural,2,1,Marriage,1
268,63,76705,538,0.4,5,8,6,5,0,3,Unstable,Urban,4,2,Home Purchase,0
269,51,88800,641,0.48,2,9,2,8,0,1,Stable,Urban,3,0,Home Purchase,1
270,50,61551,615,0.24,5,15,7,3,0,5,Stable,Suburban,1,2,Child Birth,1
271,38,82288,850,0.54,1,18,6,6,1,5,Unstable,Suburban,1,1,None,1
272,41,53771,711,0.15,5,3,6,7,0,5,Unstable,Urban,2,2,Home Purchase,0
273,42,39965,671,0.2,3,17,8,8,0,3,Unstable,Suburban,1,0,Home Purchase,1
274,69,36319,644,0.59,4,1,3,3,0,2,Stable,Urban,3,1,None,0
275,53,23964,687,0.17,2,7,2,1,1,3,Unstable,Rural,3,2,Marriage,0
276,44,48966,775,0.54,2,10,9,8,0,3,Unstable,Rural,3,1,Home Purchase,0
277,51,67787,517,0.45,4,15,5,4,0,2,Stable,Rural,0,0,Marriage,0
278,42,54796,723,0.14,4,13,6,2,0,5,Stable,Suburban,2,1,Marriage,0
279,28,64949,649,0.34,3,5,7,1,0,3,Stable,Urban,1,1,None,1
280,25,90871,743,0.36,5,7,2,6,1,4,Stable,Rural,0,1,Child Birth,0
281,25,47062,779,0.57,2,14,6,1,0,5,Unstable,Suburban,3,1,Marriage,0
282,50,118507,630,0.31,1,14,1,6,1,5,Unstable,Urban,2,0,Child Birth,0
283,69,78881,563,0.32,4,9,9,8,1,5,Stable,Suburban,0,1,Marriage,0
284,44,55076,669,0.16,4,6,6,3,1,3,Unstable,Rural,1,0,Child Birth,0
285,47,54509,828,0.42,2,19,7,6,0,1,Stable,Urban,1,1,Child Birth,0
286,34,34796,783,0.21,4,15,5,6,0,1,Stable,Urban,4,2,Home Purchase,0
287,35,59357,662,0.14,2,16,2,5,0,2,Unstable,Suburban,2,2,Marriage,0
288,65,20000,636,0.6,1,12,4,3,0,1,Stable,Urban,4,2,None,1
289,65,91394,644,0.23,1,3,5,6,0,5,Stable,Urban,3,0,None,0
290,29,20000,570,0.17,2,3,2,1,1,4,Stable,Suburban,1,1,None,0
291,25,61043,778,0.45,4,6,9,4,1,4,Stable,Urban,3,0,Marriage,1
292,41,31400,796,0.51,3,19,2,8,1,5,Unstable,Rural,4,0,Marriage,1
293,46,42470,661,0.13,3,12,2,6,0,3,Stable,Rural,1,1,Child Birth,1
294,58,45696,649,0.15,5,16,2,4,0,3,Stable,Suburban,2,2,Marriage,0
295,69,108140,630,0.15,3,18,2,6,0,5,Unstable,Rural,0,2,Child Birth,1
296,65,32418,654,0.12,4,4,5,1,1,5,Stable,Rural,3,2,Child Birth,0
297,53,82856,626,0.43,3,13,7,3,0,2,Stable,Rural,3,2,Home Purchase,1
298,28,89010,684,0.39,5,13,1,7,0,3,Stable,Urban,1,1,None,0
299,29,20000,778,0.43,1,2,9,1,1,1,Unstable,Rural,1,1,Child Birth,0
300,35,44616,768,0.35,2,9,6,2,1,1,Unstable,Rural,4,2,Marriage,0
301,45,97111,616,0.51,3,11,1,3,0,3,Stable,Urban,3,0,None,0
302,59,27130,715,0.37,2,3,1,4,1,4,Unstable,Rural,3,1,Marriage,0
303,36,89956,764,0.56,2,17,9,6,0,5,Stable,Urban,3,0,Marriage,1
304,50,59553,606,0.34,1,12,9,9,0,2,Stable,Urban,0,1,None,0
305,43,58472,714,0.5,5,5,1,1,0,2,Unstable,Rural,3,1,None,0
306,69,61737,821,0.3,4,14,1,4,1,2,Stable,Rural,4,2,Marriage,1
307,31,68564,675,0.32,4,19,5,4,0,1,Stable,Urban,3,1,Marriage,0
