application_id,applicant_id,ds,applicant_age,annual_income,employment_status,credit_score,debt_to_income_ratio,loan_amount_requested,vehicle_value,down_payment,vehicle_type,vehicle_model,vehicle_year,loan_term_months,interest_rate,marital_status,num_dependents,residence_type,years_employed,has_previous_auto_loan,previous_default,bank_account_balance,is_approved
33,Applicant_1,2023-01-31,62,28337.82,employed,553,0.59,90339.38,130465.99,35404.07,luxury,BMW 7 Series,2012,84,7.72,divorced,1,own,29,0,0,8283.28,1
34,Applicant_1,2023-02-01,60,53345.47,unemployed,675,0.4,98910.32,132359.9,38054.78,luxury,Porsche Panamera,2023,84,7.41,divorced,3,own,30,1,1,4693.61,1
35,Applicant_1,2023-02-01,58,35426.97,self-employed,628,0.59,78923.23,103272.62,21345.12,truck,Toyota Tacoma,2011,60,5.88,married,2,family,5,0,0,12173.89,0
36,Applicant_1,2023-02-02,42,44768.43,unemployed,557,0.51,23752.47,28160.49,4328.74,truck,GMC Sierra,2017,72,4.5,married,3,family,1,1,1,5603.19,0
37,Applicant_1,2023-02-03,40,45967.2,self-employed,550,0.43,77812.76,112157.69,32341.52,luxury,Porsche Panamera,2021,84,10.4,single,3,own,17,1,1,7024.07,0
38,Applicant_1,2023-02-04,39,81145.83,unemployed,784,0.12,71122.77,89737.5,8189.55,luxury,BMW 7 Series,2019,84,4.22,married,4,family,1,0,0,11082.34,1
39,Applicant_1,2023-02-04,26,45739.43,self-employed,575,0.37,26355.61,31733.81,4183.73,luxury,Audi A8,2015,72,6.23,married,2,own,30,0,0,10125.51,1
40,Applicant_1,2023-02-05,21,69337.3,self-employed,709,0.23,30179.99,34026.36,9844.55,sedan,Toyota Camry,2013,48,10.71,divorced,1,own,8,1,0,12614.28,1
41,Applicant_1,2023-02-06,31,24097.32,self-employed,484,0.34,72951.85,102625.69,9436.15,electric,Tesla Model 3,2022,48,11.72,single,4,own,19,1,1,5369.72,1
42,Applicant_1,2023-02-06,30,41854.58,employed,518,0.59,63288.81,90644.04,10035.41,truck,GMC Sierra,2022,36,10.37,divorced,0,rent,34,1,1,7373.53,0
43,Applicant_1,2023-02-07,59,74567.16,self-employed,759,0.2,11138.69,14124.13,2437.12,luxury,Audi A8,2020,72,9.66,married,1,family,33,1,1,18796.05,1
44,Applicant_1,2023-02-07,70,36350.24,unemployed,611,0.3,63322.72,77818.67,8666.96,sedan,Hyundai Elantra,2024,72,5.95,married,4,family,24,1,0,10208.85,1
45,Applicant_1,2023-02-09,38,49074.17,employed,618,0.46,53879.49,66914.56,7667.61,truck,GMC Sierra,2021,60,8.45,divorced,1,own,15,1,1,12825.32,0
46,Applicant_1,2023-02-09,33,123832.47,unemployed,844,0.34,52848.38,73181.11,11858.53,sedan,Toyota Camry,2014,48,7.24,single,2,family,37,1,1,20161.94,1
47,Applicant_1,2023-02-11,40,76838.68,self-employed,773,0.14,99696.83,131615.31,18156.68,luxury,Audi A8,2014,60,5.84,divorced,1,rent,7,0,0,14127.52,1
48,Applicant_1,2023-02-11,65,64876.08,self-employed,769,0.3,34884.97,46600.55,11186.55,electric,Nissan Leaf,2011,48,6.37,married,1,rent,0,0,0,12828.28,1
49,Applicant_1,2023-02-12,21,32814.15,unemployed,431,0.36,36292.3,53626.8,11233.07,luxury,Mercedes-Benz S-Class,2023,36,8.59,married,3,rent,21,0,0,7025.89,1
50,Applicant_1,2023-02-12,34,45850.84,self-employed,480,0.5,20267.84,22824.38,3947.17,electric,Tesla Model 3,2012,48,10.49,married,0,own,7,1,0,12935.76,1
51,Applicant_1,2023-02-15,42,124611.18,self-employed,807,0.2,91765.39,111856.62,22050.44,luxury,Audi A8,2019,84,4.48,divorced,0,own,40,0,0,17375.85,1
52,Applicant_1,2023-02-15,23,17503.31,employed,374,0.58,31587.87,41721.16,3718.74,luxury,Lexus LS,2021,84,7.76,single,1,rent,18,1,0,10729.75,1
53,Applicant_1,2023-02-16,34,46441.69,unemployed,534,0.59,63081.06,89673.66,8918.48,sedan,Nissan Altima,2013,48,11.27,single,0,own,10,1,1,2993.89,0
54,Applicant_1,2023-02-18,47,112841.54,unemployed,850,0.32,37368.21,47121.44,5563.23,electric,Chevrolet Bolt,2017,36,8.78,married,2,family,16,0,0,21348.2,1
55,Applicant_1,2023-02-19,61,39314.25,unemployed,584,0.47,62841.06,69646.64,16798.08,truck,GMC Sierra,2010,48,7.76,divorced,3,rent,11,1,1,9472.9,1
56,Applicant_1,2023-02-20,48,93211.36,self-employed,801,0.32,46751.33,57430.42,4373.32,SUV,Ford Explorer,2016,72,6.31,married,4,own,29,0,0,10987.64,1
57,Applicant_1,2023-02-22,38,33653.94,employed,459,0.46,97316.63,122781.47,21934.79,sedan,Nissan Altima,2017,72,4.43,divorced,2,family,31,1,0,995.61,0
58,Applicant_1,2023-02-24,53,46820.7,employed,585,0.32,93490.55,119223.49,26773.13,sedan,Toyota Camry,2020,84,10.39,divorced,1,rent,35,0,0,8787.17,1
59,Applicant_1,2023-02-25,23,62020.8,employed,576,0.3,99303.14,145496.18,24059.54,sedan,Honda Civic,2017,60,8.07,married,3,rent,30,0,0,7175.14,1
60,Applicant_1,2023-02-25,27,6512.92,self-employed,456,0.36,27154.93,36380.85,8606.73,SUV,Toyota RAV4,2014,72,6.72,divorced,2,own,18,1,1,12080.91,1
61,Applicant_1,2023-02-26,46,145539.08,unemployed,850,0.39,53590.72,66076.08,15905.71,luxury,Lexus LS,2024,60,10.96,divorced,1,family,24,0,0,22220.86,1
62,Applicant_1,2023-02-26,44,66015.08,employed,659,0.23,38635.87,49809.0,13864.71,luxury,Lexus LS,2020,48,7.96,single,1,family,37,1,0,11782.21,1
63,Applicant_1,2023-02-28,46,36197.11,employed,490,0.57,57335.6,73548.46,16961.08,luxury,BMW 7 Series,2011,72,10.25,married,2,family,25,0,0,8752.76,1
64,Applicant_1,2023-02-28,61,24205.22,unemployed,581,0.56,44200.85,54219.61,12453.12,luxury,Porsche Panamera,2010,84,4.55,divorced,2,own,5,1,0,3035.25,1
65,Applicant_1,2023-03-01,63,40521.13,employed,644,0.57,49931.07,68785.06,18974.77,sedan,Hyundai Elantra,2022,36,6.35,married,3,own,15,1,0,3822.26,0
66,Applicant_1,2023-03-01,23,93123.96,unemployed,683,0.21,88375.56,119120.02,13127.91,electric,Tesla Model Y,2013,72,9.1,married,2,family,0,1,1,19894.73,0
67,Applicant_1,2023-03-02,28,26592.78,employed,514,0.4,49755.68,61608.79,12130.33,luxury,Audi A8,2017,60,5.59,married,3,own,15,1,1,2899.89,0
68,Applicant_1,2023-03-04,62,38051.42,self-employed,682,0.52,11974.56,17147.76,2554.18,sedan,Nissan Altima,2023,36,11.28,divorced,3,rent,14,1,0,3060.42,1
69,Applicant_1,2023-03-05,57,72296.78,self-employed,742,0.32,70998.8,98572.7,21172.96,SUV,Toyota RAV4,2024,36,6.47,married,0,family,23,0,0,8917.01,1
70,Applicant_1,2023-03-06,36,77415.56,self-employed,646,0.12,77273.28,90429.52,7509.26,electric,Nissan Leaf,2018,84,11.31,single,2,rent,18,1,0,5363.98,1
71,Applicant_1,2023-03-07,22,10523.8,employed,456,0.54,77873.63,92688.77,20306.34,luxury,Porsche Panamera,2015,36,10.33,single,2,family,7,1,1,6189.2,1
72,Applicant_1,2023-03-08,61,61914.38,self-employed,677,0.38,62610.41,89468.2,25504.97,sedan,Honda Civic,2017,36,8.96,divorced,2,family,14,0,0,10879.91,1
73,Applicant_1,2023-03-09,47,44318.5,unemployed,603,0.51,37197.12,46991.8,3991.68,sedan,Hyundai Elantra,2017,36,4.78,divorced,1,rent,29,1,1,7326.41,0
74,Applicant_1,2023-03-10,64,27439.35,employed,650,0.57,89687.24,122151.22,31566.72,electric,Chevrolet Bolt,2014,36,9.52,single,3,rent,15,1,0,5638.83,1
75,Applicant_1,2023-03-12,41,28988.74,unemployed,506,0.4,91152.66,123779.0,8062.66,truck,Chevrolet Silverado,2011,72,4.73,single,4,own,3,1,0,9287.05,1
76,Applicant_1,2023-03-12,68,26251.8,unemployed,518,0.38,28468.5,40764.82,7686.29,electric,Tesla Model Y,2023,48,6.63,single,4,own,17,0,0,5949.92,1
77,Applicant_1,2023-03-13,52,22128.77,self-employed,487,0.44,81866.24,93652.57,24968.9,SUV,Toyota RAV4,2015,48,8.71,single,1,rent,3,0,0,12396.12,1
78,Applicant_1,2023-03-14,51,20019.04,employed,483,0.32,77109.87,99510.17,24330.66,electric,Ford Mustang Mach-E,2011,72,8.03,divorced,0,family,33,1,1,5791.24,1
79,Applicant_1,2023-03-15,19,45539.11,employed,546,0.47,99872.81,143708.92,22500.28,sedan,Ford Fusion,2021,72,4.59,single,2,family,9,0,0,9980.06,0
80,Applicant_1,2023-03-16,57,91335.52,unemployed,767,0.33,62682.82,86807.0,12606.64,electric,Ford Mustang Mach-E,2014,72,8.04,married,0,family,7,0,0,10624.1,1
81,Applicant_1,2023-03-17,32,60136.31,self-employed,601,0.21,40503.85,51901.61,7992.71,sedan,Hyundai Elantra,2016,60,9.32,married,1,family,30,0,0,9166.27,0
82,Applicant_1,2023-03-18,23,116042.3,employed,784,0.12,48868.89,68310.67,9779.47,SUV,Jeep Grand Cherokee,2010,84,11.65,divorced,2,family,7,1,1,20301.77,1
83,Applicant_1,2023-03-19,66,60202.8,self-employed,794,0.32,88128.29,122359.46,35741.16,electric,Nissan Leaf,2015,36,8.62,single,1,family,30,0,0,11519.57,1
84,Applicant_1,2023-03-19,40,79581.22,unemployed,739,0.21,43080.49,60529.92,11714.05,luxury,Porsche Panamera,2022,84,8.91,divorced,4,own,38,1,0,15396.69,1
85,Applicant_1,2023-03-20,62,31452.34,self-employed,554,0.38,92938.38,115281.63,10992.26,SUV,Jeep Grand Cherokee,2020,72,4.56,divorced,0,own,33,0,0,5528.92,1
86,Applicant_1,2023-03-20,47,32773.83,self-employed,565,0.31,24166.83,29596.03,3879.91,electric,Ford Mustang Mach-E,2011,36,5.24,divorced,0,family,5,1,1,9760.61,0
87,Applicant_1,2023-03-21,49,6082.06,unemployed,447,0.55,49783.98,60202.11,14372.4,sedan,Hyundai Elantra,2016,36,6.27,divorced,4,rent,33,1,0,8419.42,0
88,Applicant_1,2023-03-22,56,34835.92,employed,602,0.44,10691.84,13050.11,1341.66,SUV,Ford Explorer,2014,60,4.96,married,3,own,8,1,0,12509.86,1
89,Applicant_1,2023-03-22,60,113331.92,self-employed,848,0.29,16486.79,23818.57,1442.82,sedan,Ford Fusion,2024,36,10.9,divorced,3,family,25,1,1,16942.53,0
90,Applicant_1,2023-03-24,19,50500.76,self-employed,611,0.47,25468.59,37669.2,6216.33,truck,Ford F-150,2016,36,5.95,divorced,3,family,5,1,1,13872.06,0
91,Applicant_1,2023-03-27,32,56994.9,self-employed,568,0.46,80120.61,90580.49,18868.48,electric,Ford Mustang Mach-E,2013,60,6.81,divorced,1,own,6,0,0,13297.7,0
92,Applicant_1,2023-03-28,29,46067.1,unemployed,555,0.51,23758.28,33348.57,2295.66,luxury,Lexus LS,2022,84,10.08,married,4,family,40,1,1,3955.06,0
93,Applicant_1,2023-03-28,22,43616.81,self-employed,586,0.55,49798.73,60810.63,7216.3,sedan,Hyundai Elantra,2018,36,6.48,married,0,own,23,1,0,9745.8,1
94,Applicant_1,2023-03-30,23,36724.41,unemployed,436,0.47,63467.18,79574.71,15523.62,sedan,Ford Fusion,2024,84,9.21,married,4,rent,32,0,0,6865.67,1
95,Applicant_1,2023-04-04,46,65581.99,employed,557,0.24,82987.01,119082.29,35200.29,sedan,Nissan Altima,2020,48,4.31,divorced,3,rent,33,0,0,6265.82,1
96,Applicant_1,2023-04-04,36,120563.66,self-employed,779,0.31,46789.25,57800.95,11529.64,truck,Ford F-150,2015,36,8.46,married,2,rent,38,0,0,18739.47,1
97,Applicant_1,2023-04-08,55,89167.25,unemployed,757,0.25,22728.55,28181.78,8226.94,luxury,BMW 7 Series,2019,36,6.48,married,2,own,33,0,0,14144.87,1
98,Applicant_1,2023-04-08,45,60583.39,unemployed,671,0.2,42564.53,52994.5,5037.96,SUV,Ford Explorer,2022,72,5.54,single,1,own,18,0,0,9472.17,1
99,Applicant_1,2023-04-11,52,42552.08,unemployed,593,0.46,89531.39,99836.37,13397.15,electric,Tesla Model Y,2019,72,5.23,single,4,own,28,0,0,2817.64,0
100,Applicant_1,2023-04-11,61,66686.96,unemployed,646,0.13,31377.72,40090.67,4860.27,luxury,BMW 7 Series,2018,48,6.48,married,1,rent,36,1,1,8187.72,1
101,Applicant_1,2023-04-12,67,159301.16,self-employed,850,0.25,55261.6,70042.11,6339.83,SUV,Jeep Grand Cherokee,2012,60,4.42,married,2,family,6,0,0,19792.94,1
102,Applicant_1,2023-04-12,66,25958.45,employed,588,0.6,34551.22,50518.11,4386.85,luxury,Mercedes-Benz S-Class,2024,48,10.53,married,0,rent,3,1,1,5270.15,0
103,Applicant_1,2023-04-13,23,79206.59,self-employed,646,0.17,30208.49,37080.13,2772.51,truck,Chevrolet Silverado,2012,36,6.3,married,1,family,30,1,0,13496.93,1
104,Applicant_1,2023-04-13,19,127805.85,self-employed,788,0.14,29408.93,34108.7,9722.91,electric,Ford Mustang Mach-E,2016,36,10.21,single,2,own,3,0,0,18162.89,1
105,Applicant_1,2023-04-15,68,62325.84,unemployed,673,0.35,51140.23,58521.97,16168.84,electric,Ford Mustang Mach-E,2010,84,8.6,divorced,1,rent,27,0,0,10157.96,1
106,Applicant_1,2023-04-15,33,84214.14,unemployed,645,0.32,47491.08,64860.88,4631.29,truck,Ford F-150,2018,84,8.06,divorced,4,own,24,1,0,12741.17,1
107,Applicant_1,2023-04-16,41,57294.1,self-employed,553,0.55,77258.49,96019.76,6422.75,SUV,Toyota RAV4,2022,84,9.88,married,1,own,22,1,0,10955.21,1
108,Applicant_1,2023-04-16,61,28998.37,self-employed,540,0.44,98273.73,126911.92,12128.91,SUV,Toyota RAV4,2021,72,4.3,single,0,own,2,1,1,4320.06,0
109,Applicant_1,2023-04-18,70,109738.91,unemployed,818,0.24,52605.98,58637.17,12414.96,truck,Ram 1500,2023,36,10.93,married,2,own,23,1,1,20662.33,1
110,Applicant_1,2023-04-18,42,68417.52,self-employed,763,0.27,97635.12,126777.38,22107.55,electric,Nissan Leaf,2022,36,9.82,single,3,family,11,1,1,16014.46,0
111,Applicant_1,2023-04-20,38,19656.32,unemployed,420,0.57,36607.6,46797.92,10736.18,SUV,Chevrolet Equinox,2015,72,4.34,married,4,rent,17,0,0,2720.02,0
112,Applicant_1,2023-04-21,58,70069.35,self-employed,607,0.38,42698.0,60649.88,13334.04,sedan,Honda Civic,2023,84,9.42,married,0,own,4,0,0,11942.51,1
113,Applicant_1,2023-04-21,41,43315.1,self-employed,454,0.56,44456.9,58989.76,11873.09,luxury,Audi A8,2015,72,10.1,divorced,1,family,23,1,1,9853.41,0
114,Applicant_1,2023-04-22,33,84518.28,employed,689,0.32,12332.2,14483.17,2598.81,electric,Tesla Model 3,2014,60,9.63,single,4,rent,31,0,0,14806.06,0
115,Applicant_1,2023-04-24,22,68858.16,self-employed,645,0.26,25539.07,35380.5,10589.94,truck,Ram 1500,2021,36,8.4,married,2,own,40,0,0,15611.73,1
116,Applicant_1,2023-04-24,50,46562.1,employed,560,0.52,20922.62,24696.9,2092.3,luxury,Mercedes-Benz S-Class,2015,84,8.58,married,4,own,39,0,0,11572.08,0
117,Applicant_1,2023-04-26,43,148477.42,unemployed,850,0.33,74698.27,97875.52,23714.37,electric,Tesla Model 3,2012,60,9.14,married,3,family,33,1,0,19886.6,1
118,Applicant_1,2023-04-28,67,28986.36,unemployed,582,0.48,67581.45,79258.53,23109.11,luxury,Porsche Panamera,2024,36,10.65,divorced,1,rent,10,0,0,9329.12,1
119,Applicant_1,2023-04-28,63,31295.14,employed,482,0.46,41142.08,60740.58,16626.61,sedan,Hyundai Elantra,2013,84,6.2,divorced,2,family,34,0,0,3928.87,1
120,Applicant_1,2023-04-29,28,56263.29,unemployed,547,0.34,94744.63,110062.72,23628.62,electric,Nissan Leaf,2023,84,4.33,single,0,own,36,1,0,11409.05,1
121,Applicant_1,2023-04-29,44,205649.18,unemployed,850,0.34,67509.21,87708.99,18137.43,truck,Ram 1500,2017,48,10.44,divorced,3,rent,29,0,0,23885.69,1
122,Applicant_1,2023-04-30,28,120935.8,self-employed,777,0.38,47405.96,60953.48,8231.65,SUV,Ford Explorer,2023,60,9.87,married,3,own,23,0,0,13368.06,1
123,Applicant_1,2023-05-02,47,69395.83,employed,702,0.33,34072.45,40858.58,3031.83,truck,Toyota Tacoma,2023,84,7.35,single,2,family,20,0,0,13487.96,1
124,Applicant_1,2023-05-02,49,65205.31,unemployed,639,0.29,52013.36,75504.17,13163.59,sedan,Ford Fusion,2018,72,11.73,single,4,rent,3,0,0,9478.3,0
125,Applicant_1,2023-05-03,56,41588.27,unemployed,635,0.48,70526.85,85640.71,4457.12,sedan,Ford Fusion,2012,60,9.82,married,2,own,25,0,0,7656.47,1
126,Applicant_1,2023-05-04,30,153923.55,self-employed,850,0.29,59790.06,67527.66,11889.18,electric,Nissan Leaf,2023,84,9.44,single,1,own,25,1,1,21279.01,1
127,Applicant_1,2023-05-04,41,12139.12,employed,535,0.47,27915.21,36391.63,6369.24,sedan,Toyota Camry,2012,60,10.43,divorced,3,own,38,0,0,2582.41,0
128,Applicant_1,2023-05-05,57,18619.29,self-employed,490,0.37,24625.18,36845.34,8652.39,truck,GMC Sierra,2015,84,10.63,divorced,3,family,36,1,1,7026.69,1
129,Applicant_1,2023-05-05,41,12413.79,self-employed,532,0.4,70642.58,105395.84,20649.74,sedan,Nissan Altima,2017,60,11.74,divorced,4,own,3,1,0,8989.89,1
130,Applicant_1,2023-05-07,64,94298.23,unemployed,850,0.27,79714.55,99808.69,25492.67,SUV,Toyota RAV4,2019,36,5.53,married,2,rent,9,1,0,14332.83,1
131,Applicant_1,2023-05-07,67,87732.41,unemployed,834,0.14,92846.89,134546.94,31478.51,sedan,Honda Civic,2018,48,8.49,divorced,3,family,24,1,0,15749.36,1
132,Applicant_1,2023-05-09,52,28410.25,self-employed,630,0.33,59164.59,81076.04,21640.3,truck,GMC Sierra,2017,48,11.66,married,4,rent,14,1,1,7724.59,1
133,Applicant_1,2023-05-09,62,12747.85,unemployed,555,0.44,54010.28,69777.03,13266.14,truck,Ram 1500,2011,84,9.41,married,3,rent,9,1,0,6440.25,0
134,Applicant_1,2023-05-10,63,220447.21,employed,850,0.22,41172.72,52575.52,5999.44,luxury,BMW 7 Series,2013,84,6.17,divorced,2,own,6,0,0,35973.31,1
135,Applicant_1,2023-05-11,60,108908.48,unemployed,850,0.31,30310.45,36164.45,2714.12,truck,Toyota Tacoma,2011,48,4.04,divorced,1,rent,30,1,0,19436.77,1
136,Applicant_1,2023-05-11,36,60773.13,self-employed,609,0.17,35687.38,40100.66,9711.63,electric,Tesla Model Y,2018,36,11.31,single,3,own,2,1,1,12056.58,0
137,Applicant_1,2023-05-14,65,17895.86,self-employed,518,0.48,88906.89,98127.14,18839.48,sedan,Hyundai Elantra,2014,72,11.91,divorced,4,rent,8,1,1,5983.08,0
138,Applicant_1,2023-05-15,25,37649.74,self-employed,535,0.33,24624.48,31607.14,3613.21,SUV,Toyota RAV4,2021,60,10.33,divorced,1,own,39,1,1,13459.09,1
139,Applicant_1,2023-05-15,23,34146.36,self-employed,550,0.32,70233.03,82447.43,7020.64,truck,Chevrolet Silverado,2010,60,7.07,married,2,rent,19,0,0,7426.82,0
140,Applicant_1,2023-05-16,41,36968.86,unemployed,526,0.55,31267.23,42745.88,7110.72,SUV,Chevrolet Equinox,2020,84,11.38,divorced,2,family,7,1,1,7409.47,0
141,Applicant_1,2023-05-16,32,23365.91,employed,418,0.37,53036.37,67992.18,20207.92,truck,Toyota Tacoma,2021,84,11.3,divorced,1,own,38,0,0,2586.37,1
142,Applicant_1,2023-05-17,51,114609.92,unemployed,807,0.34,42560.64,62432.11,4872.96,electric,Ford Mustang Mach-E,2013,84,8.29,single,2,family,28,0,0,18443.32,1
143,Applicant_1,2023-05-18,63,28306.74,unemployed,591,0.42,53994.52,78808.01,12717.3,sedan,Ford Fusion,2012,84,7.32,divorced,0,family,29,1,0,3163.42,0
144,Applicant_1,2023-05-18,70,9220.81,employed,540,0.31,77122.4,102674.95,6296.28,truck,Ford F-150,2018,36,11.48,single,3,own,18,1,0,8248.5,1
145,Applicant_1,2023-05-19,67,43715.29,unemployed,660,0.47,98050.0,133186.44,20655.95,luxury,Lexus LS,2023,72,7.01,divorced,4,own,22,0,0,12488.01,0
146,Applicant_1,2023-05-19,52,32243.46,self-employed,516,0.36,57595.83,80124.05,8466.91,sedan,Toyota Camry,2014,72,9.39,divorced,3,family,24,0,0,6062.45,0
147,Applicant_1,2023-05-21,40,64038.47,employed,639,0.24,34808.48,51341.25,11872.97,sedan,Toyota Camry,2022,72,8.92,single,1,own,4,0,0,14725.82,1
148,Applicant_1,2023-05-21,46,54479.19,unemployed,555,0.39,70482.13,102120.49,11354.12,sedan,Ford Fusion,2017,48,8.32,single,1,family,18,0,0,10894.59,1
149,Applicant_1,2023-05-22,64,29070.56,unemployed,504,0.43,38701.33,51827.55,11305.3,truck,Chevrolet Silverado,2014,48,11.89,divorced,1,rent,19,1,0,6205.57,1
150,Applicant_1,2023-05-22,55,96503.37,unemployed,850,0.21,92041.99,124293.25,19489.2,luxury,Mercedes-Benz S-Class,2015,72,10.29,married,3,rent,9,1,1,12929.58,0
151,Applicant_1,2023-05-23,52,58798.02,self-employed,712,0.39,31687.14,37712.06,9970.51,SUV,Chevrolet Equinox,2024,36,8.5,married,4,family,8,1,0,11584.24,1
